Category,Label,Operator,Toggle
Stabilizer,S_0,X0 X1,Y0
Stabilizer,S_1,X3 X5,X2 Z3
Stabilizer,S_2,X8 X11,X2 X5 Y8
Stabilizer,S_3,X15 X19,X4 X5 Y8 Z11 Z15
Stabilizer,S_4,X24 X29,X12 X13 X14 X19 Y24
Stabilizer,S_5,X35 X41,X4 X5 Y8 Z11 X19 Y24 Z29 Z35
Stabilizer,S_6,X48 X55,X30 X31 X32 X33 X34 X41 Y48
Stabilizer,S_7,X2 X4,X0 Z2
Stabilizer,S_8,X7 X10,X1 Z2 Z4 Z7
Stabilizer,S_9,X14 X18,X1 Z2 Z4 Z7 Z10 Z14
Stabilizer,S_10,X23 X28,X4 Y7 X8 Z10 Z14 Z18 Z23
Stabilizer,S_11,X34 X40,X1 Z2 Z4 Z7 Z10 Z14 Z18 Z23 Z28 Z34
Stabilizer,S_12,X47 X54,X4 Y7 X8 Z10 Z14 Z18 Z23 Z28 Z34 Z40 Z47
Stabilizer,S_13,X61 X67,X48 Y61
Stabilizer,S_14,X6 X9,Y6 X7 X8
Stabilizer,S_15,X13 X17,X1 Y2 Z4 X12 Z13
Stabilizer,S_16,X22 X27,X7 X8 X12 Z13 Z17 Z22
Stabilizer,S_17,X33 X39,X7 X11 X12 Z13 Z17 Z22 Z27 Z33
Stabilizer,S_18,X46 X53,X26 X27 Z31 X32 Z33 X36 Z37 Z39 X42 X43 Z46
Stabilizer,S_19,X60 X66,X29 Z34 Z40 X41 Y46 Y48 Z53 Z55 Z60
Stabilizer,S_20,X72 X77,X40 X41 Y46 X47 Z48 Z53 Z55 Z60 Z66 Z72
Stabilizer,S_21,X12 X16,X1 Y2 Z4 X6 Z12
Stabilizer,S_22,X21 X26,X9 X10 Z12 Y14 Z16 Z18 Z21 X23 X24
Stabilizer,S_23,X32 X38,X16 X20 Z21 Z26 Y30 Z32 Z36 X42
Stabilizer,S_24,X45 X52,X25 X26 Z30 X31 Z32 Z36 Z38 X42 Z45
Stabilizer,S_25,X59 X65,X34 X39 X41 Y45 X46 X47 Z48 Z52 Z55 Z59
Stabilizer,S_26,X71 X76,X60 X69 X70 Z71 Y72 X73 Z77
Stabilizer,S_27,X81 X85,X70 X76 Y79 Y81 Z83 X86
Stabilizer,S_28,X20 X25,Z20 Y30 Z36 X42
Stabilizer,S_29,X31 X37,X20 Z30 Z31 Z36 X42
Stabilizer,S_30,X44 X51,X31 X36 X42 X43 Z44
Stabilizer,S_31,X58 X64,X27 X28 Z32 X33 Z34 Z38 Z40 X41 Y44 X47 Z48 Z51 Z55 Z58
Stabilizer,S_32,X70 X75,X59 X66 X69 Z70 Y72 X73 Z77
Stabilizer,S_33,X80 X84,X75 Y79 Y80 X81 Z83 X86
Stabilizer,S_34,X88 X91,X81 X86 X87 Z88
Stabilizer,S_35,X30 X36,Y36 X42
Stabilizer,S_36,X43 X50,X30 X42 Z43
Stabilizer,S_37,X57 X63,X37 X38 Z43 Y45 X49 Z50 Z52 Z57 X65 Y71 Z76 X81
Stabilizer,S_38,X69 X74,X58 X59 X66 X68 Z69 Y72 Z77
Stabilizer,S_39,X79 X83,X64 X65 Z69 Y71 X73 Z74 Z76 Z79 X81
Stabilizer,S_40,X87 X90,X80 X86 Z87 Y88 Z91
Stabilizer,S_41,X93 X95,X89 X90 Y93
Stabilizer,S_42,X42 X49,Z42
Stabilizer,S_43,X56 X62,X57 X58 Z62 Y70 Z75 X80 Y88 Z91
Stabilizer,S_44,X68 X73,X57 X58 X59 X66 Z68 Y72 Z77
Stabilizer,S_45,X78 X82,X63 X64 Z68 Y70 Z73 Z75 Z78 X80 Y88 Z91
Stabilizer,S_46,X86 X89,X79 Z86 Y87 Z90 X93
Stabilizer,S_47,X92 X94,X93 Z94
Stabilizer,S_48,X96 X97,X93 Z96
Stabilizer,S_49,X1 Z2 Y3 Y4 Z5 X7,X2
Stabilizer,S_50,X5 Z7 Y8 Y10 Z11 X14,Y3 Z5
Stabilizer,S_51,X11 Z14 Y15 Y18 Z19 X23,X2 X5 Y8 Z11
Stabilizer,S_52,X19 Z23 Y24 Y28 Z29 X34,Y15 Z19
Stabilizer,S_53,X29 Z34 Y35 Y40 Z41 X47,X2 X5 Y8 Z11 X19 Y24 Z29
Stabilizer,S_54,X41 Z47 Y48 Y54 Z55 X61,Y35 Z41
Stabilizer,S_55,X4 Z6 Y7 Y9 Z10 X13,X1 Y2 Z4
Stabilizer,S_56,X10 Z13 Y14 Y17 Z18 X22,X4 Y7 Z10
Stabilizer,S_57,X18 Z22 Y23 Y27 Z28 X33,X11 Y14 Z18
Stabilizer,S_58,X28 Z33 Y34 Y39 Z40 X46,X4 Y7 Z10 X18 Y23 Z28
Stabilizer,S_59,X40 Z46 Y47 Y53 Z54 X60,X29 Y34 Z40
Stabilizer,S_60,X54 Z60 Y61 Y66 Z67 X72,X61
Stabilizer,S_61,X9 Z12 Y13 Y16 Z17 X21,X12
Stabilizer,S_62,X17 Z21 Y22 Y26 Z27 X32,X7 X8 Y13 Z17
Stabilizer,S_63,X27 Z32 Y33 Y38 Z39 X45,X12 X17 Y22 Z27
Stabilizer,S_64,X39 Z45 Y46 Y52 Z53 X59,X23 X24 Y33 Z39
Stabilizer,S_65,X53 Z59 Y60 Y65 Z66 X71,X34 X41 Y46 Y48 Z53 Z55
Stabilizer,S_66,X66 Z71 Y72 Y76 Z77 X81,X47 X48 Y60 Z66
