g1_z,IZ,ZI,ZZ,round,operator,mean,std
0.5,0.5,0.5,0.5,1,Logical X,0.0166222222222,0.0121698494761
0.5,0.5,0.5,0.5,1,Logical Y,0.0158888888889,0.0106653495355
0.5,0.5,0.5,0.5,1,Logical Z,0.0119555555556,0.00965446448782
0.5,0.5,0.5,0.5,1,X0 X1,0.0113333333333,0.0103427839616
0.5,0.5,0.5,0.5,1,X1 Z2 Y3 Y4 Z5 X7,0.0142888888889,0.0111302746619
0.5,0.5,0.5,0.5,1,X10 Z13 Y14 Y17 Z18 X22,0.0152444444444,0.0150877213617
0.5,0.5,0.5,0.5,1,X100 Z110 Y111 Y121 Z122 X132,0.0146666666667,0.0108150597428
0.5,0.5,0.5,0.5,1,X101 Z111 Y112 Y122 Z123 X133,0.0176888888889,0.0166457186362
0.5,0.5,0.5,0.5,1,X102 Z112 Y113 Y123 Z124 X134,0.0146444444444,0.00925166789699
0.5,0.5,0.5,0.5,1,X103 Z113 Y114 Y124 Z125 X135,0.0143777777778,0.00963658948801
0.5,0.5,0.5,0.5,1,X104 Z114 Y115 Y125 Z126 X136,0.0133333333333,0.00844000690018
0.5,0.5,0.5,0.5,1,X105 Z115 Y116 Y126 Z127 X137,0.0132444444444,0.0121494314495
0.5,0.5,0.5,0.5,1,X106 Z116 Y117 Y127 Z128 X138,0.0163777777778,0.0114184542886
0.5,0.5,0.5,0.5,1,X107 Z117 Y118 Y128 Z129 X139,0.0133777777778,0.0116972450938
0.5,0.5,0.5,0.5,1,X108 Z118 Y119 Y129 Z130 X140,0.0179111111111,0.00978345359472
0.5,0.5,0.5,0.5,1,X109 Z119 Y120 Y130 Z131 X141,0.0157555555556,0.0133373365638
0.5,0.5,0.5,0.5,1,X11 Z14 Y15 Y18 Z19 X23,0.0148888888889,0.00909436831898
0.5,0.5,0.5,0.5,1,X110 X121,0.0148222222222,0.0101115363474
0.5,0.5,0.5,0.5,1,X111 X122,0.0150444444444,0.00831134263205
0.5,0.5,0.5,0.5,1,X112 X123,0.0123333333333,0.0111096933961
0.5,0.5,0.5,0.5,1,X113 X124,0.0126666666667,0.0106881966623
0.5,0.5,0.5,0.5,1,X114 X125,0.0139555555556,0.0106464367551
0.5,0.5,0.5,0.5,1,X115 X126,0.0134666666667,0.010644229275
0.5,0.5,0.5,0.5,1,X116 X127,0.0148222222222,0.00879687045246
0.5,0.5,0.5,0.5,1,X117 X128,0.0144444444444,0.0125338876538
0.5,0.5,0.5,0.5,1,X118 X129,0.0158666666667,0.0130972197336
0.5,0.5,0.5,0.5,1,X119 X130,0.0159333333333,0.00998750176825
0.5,0.5,0.5,0.5,1,X12 X16,0.0149111111111,0.011117599638
0.5,0.5,0.5,0.5,1,X120 X131,0.0151555555556,0.0103456483284
0.5,0.5,0.5,0.5,1,X121 Y132 Z142,0.0156666666667,0.0153824799579
0.5,0.5,0.5,0.5,1,X122 Z132 Y133 Y142 Z143 X152,0.0133555555556,0.00808476801267
0.5,0.5,0.5,0.5,1,X123 Z133 Y134 Y143 Z144 X153,0.0141777777778,0.0112361394678
0.5,0.5,0.5,0.5,1,X124 Z134 Y135 Y144 Z145 X154,0.0149333333333,0.00994791031022
0.5,0.5,0.5,0.5,1,X125 Z135 Y136 Y145 Z146 X155,0.0136666666667,0.0108895535023
0.5,0.5,0.5,0.5,1,X126 Z136 Y137 Y146 Z147 X156,0.0108,0.0110358524054
0.5,0.5,0.5,0.5,1,X127 Z137 Y138 Y147 Z148 X157,0.0160222222222,0.0136799580261
0.5,0.5,0.5,0.5,1,X128 Z138 Y139 Y148 Z149 X158,0.0151777777778,0.0121215849821
0.5,0.5,0.5,0.5,1,X129 Z139 Y140 Y149 Z150 X159,0.0154444444444,0.0142232698369
0.5,0.5,0.5,0.5,1,X13 X17,0.0126444444444,0.00925001121811
0.5,0.5,0.5,0.5,1,X130 Z140 Y141 Y150 Z151 X160,0.0117777777778,0.00869285756637
0.5,0.5,0.5,0.5,1,X132 X142,0.0123111111111,0.00960002128563
0.5,0.5,0.5,0.5,1,X133 X143,0.0128666666667,0.00757521669961
0.5,0.5,0.5,0.5,1,X134 X144,0.0121777777778,0.0111264874449
0.5,0.5,0.5,0.5,1,X135 X145,0.0116888888889,0.0106043197059
0.5,0.5,0.5,0.5,1,X136 X146,0.0131333333333,0.01173937932
0.5,0.5,0.5,0.5,1,X137 X147,0.0131333333333,0.00972912836267
0.5,0.5,0.5,0.5,1,X138 X148,0.0155111111111,0.0105886997285
0.5,0.5,0.5,0.5,1,X139 X149,0.0146444444444,0.00914838650989
