g1_z,IZ,ZI,ZZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.998666666667,0.00085769002787
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0149777777778,0.0126826678525
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0149333333333,0.0115464744748
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999577777778,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.998822222222,0.000776737125378
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.9992,0.00066436383883
1e-05,1e-05,1e-05,1e-05,1,X100 Z110 Y111 Y121 Z122 X132,0.998777777778,0.00105166656041
1e-05,1e-05,1e-05,1e-05,1,X101 Z111 Y112 Y122 Z123 X133,0.999333333333,0.000495187568472
1e-05,1e-05,1e-05,1e-05,1,X102 Z112 Y113 Y123 Z124 X134,0.999666666667,0.000419815686615
1e-05,1e-05,1e-05,1e-05,1,X103 Z113 Y114 Y124 Z125 X135,0.999466666667,0.000640880620201
1e-05,1e-05,1e-05,1e-05,1,X104 Z114 Y115 Y125 Z126 X136,0.999266666667,0.00074996807084
1e-05,1e-05,1e-05,1e-05,1,X105 Z115 Y116 Y126 Z127 X137,0.999222222222,0.000702122307262
1e-05,1e-05,1e-05,1e-05,1,X106 Z116 Y117 Y127 Z128 X138,0.999266666667,0.000729246711534
1e-05,1e-05,1e-05,1e-05,1,X107 Z117 Y118 Y128 Z129 X139,0.9994,0.000563241847975
1e-05,1e-05,1e-05,1e-05,1,X108 Z118 Y119 Y129 Z130 X140,0.998777777778,0.000876833965652
1e-05,1e-05,1e-05,1e-05,1,X109 Z119 Y120 Y130 Z131 X141,0.998644444444,0.00120641114121
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999177777778,0.000756749113607
1e-05,1e-05,1e-05,1e-05,1,X110 X121,0.999222222222,0.000679944404609
1e-05,1e-05,1e-05,1e-05,1,X111 X122,0.999622222222,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X112 X123,0.999777777778,0.000364448182394
1e-05,1e-05,1e-05,1e-05,1,X113 X124,0.999755555556,0.000326755011902
1e-05,1e-05,1e-05,1e-05,1,X114 X125,0.999711111111,0.000378880518104
1e-05,1e-05,1e-05,1e-05,1,X115 X126,0.9996,0.0004826491392
1e-05,1e-05,1e-05,1e-05,1,X116 X127,0.999622222222,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X117 X128,0.999422222222,0.000599701926812
1e-05,1e-05,1e-05,1e-05,1,X118 X129,0.999533333333,0.000610257153259
1e-05,1e-05,1e-05,1e-05,1,X119 X130,0.999266666667,0.00061525934475
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.999,0.000816496580928
1e-05,1e-05,1e-05,1e-05,1,X120 X131,0.999177777778,0.00073621863597
1e-05,1e-05,1e-05,1e-05,1,X121 Y132 Z142,0.999844444444,0.000286788711435
1e-05,1e-05,1e-05,1e-05,1,X122 Z132 Y133 Y142 Z143 X152,0.999511111111,0.000523276835177
1e-05,1e-05,1e-05,1e-05,1,X123 Z133 Y134 Y143 Z144 X153,0.999577777778,0.000593278657776
1e-05,1e-05,1e-05,1e-05,1,X124 Z134 Y135 Y144 Z145 X154,0.999644444444,0.000517386101508
1e-05,1e-05,1e-05,1e-05,1,X125 Z135 Y136 Y145 Z146 X155,0.999177777778,0.000796223525737
1e-05,1e-05,1e-05,1e-05,1,X126 Z136 Y137 Y146 Z147 X156,0.999222222222,0.000657018304435
1e-05,1e-05,1e-05,1e-05,1,X127 Z137 Y138 Y147 Z148 X157,0.999444444444,0.000679944404609
1e-05,1e-05,1e-05,1e-05,1,X128 Z138 Y139 Y148 Z149 X158,0.999466666667,0.000640880620201
1e-05,1e-05,1e-05,1e-05,1,X129 Z139 Y140 Y149 Z150 X159,0.999177777778,0.000598422788647
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.999377777778,0.000653510023805
1e-05,1e-05,1e-05,1e-05,1,X130 Z140 Y141 Y150 Z151 X160,0.999088888889,0.000566858205177
1e-05,1e-05,1e-05,1e-05,1,X132 X142,0.999911111111,0.000230497269095
1e-05,1e-05,1e-05,1e-05,1,X133 X143,0.999644444444,0.000517386101508
1e-05,1e-05,1e-05,1e-05,1,X134 X144,0.999555555556,0.000534863704724
1e-05,1e-05,1e-05,1e-05,1,X135 X145,0.999533333333,0.000557773351023
1e-05,1e-05,1e-05,1e-05,1,X136 X146,0.999644444444,0.00048686449556
1e-05,1e-05,1e-05,1e-05,1,X137 X147,0.999533333333,0.000557773351023
1e-05,1e-05,1e-05,1e-05,1,X138 X148,0.999533333333,0.000499808392405
1e-05,1e-05,1e-05,1e-05,1,X139 X149,0.999377777778,0.000761795284964
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.999355555556,0.000509926997505
1e-05,1e-05,1e-05,1e-05,1,X140 X150,0.999466666667,0.000640880620201
1e-05,1e-05,1e-05,1e-05,1,X141 X151,0.999733333333,0.000449776445109
1e-05,1e-05,1e-05,1e-05,1,X143 Z152 Y153 Y161 Z162 X170,0.999311111111,0.000642870319555
1e-05,1e-05,1e-05,1e-05,1,X144 Z153 Y154 Y162 Z163 X171,0.999533333333,0.000557773351023
1e-05,1e-05,1e-05,1e-05,1,X145 Z154 Y155 Y163 Z164 X172,0.999577777778,0.00044578342364
1e-05,1e-05,1e-05,1e-05,1,X146 Z155 Y156 Y164 Z165 X173,0.999644444444,0.00048686449556
1e-05,1e-05,1e-05,1e-05,1,X147 Z156 Y157 Y165 Z166 X174,0.999266666667,0.000808953725666
1e-05,1e-05,1e-05,1e-05,1,X148 Z157 Y158 Y166 Z167 X175,0.999422222222,0.000624734937408
