CodeFamily,Category,Label,Operator,Toggle
surface,Stabilizer,S_0,X0 X1 X11,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_1,X1 X2 X12,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_2,X2 X3 X13,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_3,X3 X4 X14,Z4 Z5 Z6 Z7 Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_4,X4 X5 X15,Z5 Z6 Z7 Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_5,X5 X6 X16,Z6 Z7 Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_6,X6 X7 X17,Z7 Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_7,X7 X8 X18,Z8 Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_8,X8 X9 X19,Z9 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_9,X9 X10 X20,Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_10,X11 X21 X22 X32,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_11,X12 X22 X23 X33,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_12,X13 X23 X24 X34,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_13,X14 X24 X25 X35,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_14,X15 X25 X26 X36,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_15,X16 X26 X27 X37,Z6 Z7 Z8 Z9 Z16 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_16,X17 X27 X28 X38,Z7 Z8 Z9 Z17 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_17,X18 X28 X29 X39,Z8 Z9 Z18 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_18,X19 X29 X30 X40,Z9 Z19 Z20 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_19,X20 X30 X31 X41,Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_20,X32 X42 X43 X53,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_21,X33 X43 X44 X54,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_22,X34 X44 X45 X55,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_23,X35 X45 X46 X56,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_24,X36 X46 X47 X57,Z5 Z6 Z7 Z8 Z9 Z15 Z20 Z36 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_25,X37 X47 X48 X58,Z6 Z7 Z8 Z9 Z16 Z20 Z37 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_26,X38 X48 X49 X59,Z7 Z8 Z9 Z17 Z20 Z38 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_27,X39 X49 X50 X60,Z8 Z9 Z18 Z20 Z39 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_28,X40 X50 X51 X61,Z9 Z19 Z20 Z40 Z41 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_29,X41 X51 X52 X62,Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_30,X53 X63 X64 X74,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z11 Z20 Z32 Z41 Z53 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_31,X54 X64 X65 X75,Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z12 Z20 Z33 Z41 Z54 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_32,X55 X65 X66 X76,Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z13 Z20 Z34 Z41 Z55 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
surface,Stabilizer,S_33,X56 X66 X67 X77,Z4 Z5 Z6 Z7 Z8 Z9 Z14 Z20 Z35 Z41 Z56 Z62 Z83 Z104 Z125 Z146 Z167 Z188 Z209 Z220
