CodeFamily,Category,Label,Operator,Toggle
surface,Stabilizer,S_0,X0 X1 X9,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_1,X1 X2 X10,Z2 Z3 Z4 Z5 Z6 Z7 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_2,X2 X3 X11,Z3 Z4 Z5 Z6 Z7 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_3,X3 X4 X12,Z4 Z5 Z6 Z7 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_4,X4 X5 X13,Z5 Z6 Z7 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_5,X5 X6 X14,Z6 Z7 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_6,X6 X7 X15,Z7 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_7,X7 X8 X16,Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_8,X9 X17 X18 X26,Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z9 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_9,X10 X18 X19 X27,Z2 Z3 Z4 Z5 Z6 Z7 Z10 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_10,X11 X19 X20 X28,Z3 Z4 Z5 Z6 Z7 Z11 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_11,X12 X20 X21 X29,Z4 Z5 Z6 Z7 Z12 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
surface,Stabilizer,S_12,X13 X21 X22 X30,Z5 Z6 Z7 Z13 Z16 Z33 Z50 Z67 Z84 Z101 Z118 Z135 Z144
