g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,Logical X,0.994088888889,0.00200178719637,0.993977777778,0.00154109314174
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,Logical Y,0.0160888888889,0.00944876619622,0.0042,0.0161545694756
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,Logical Z,0.0111777777778,0.00907133641294,0.000755555555556,0.021852682193
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X0 X1,0.994333333333,0.00176600508107,0.994333333333,0.00176600508107
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.982422222222,0.00377319984059,0.982422222222,0.00377319984059
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X10 Z12 Y13 Y14 Z15 X16,0.983222222222,0.00316631375327,0.983222222222,0.00316631375327
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X12 X14,0.994755555556,0.00180024122124,0.994755555556,0.00180024122124
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X13 X15,0.9942,0.00191905148985,0.9942,0.00191905148985
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X15 Z16 Y17,0.988822222222,0.00212760245569,0.988822222222,0.00212760245569
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X16 X17,0.993533333333,0.00180378486709,0.993533333333,0.00180378486709
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X2 X4,0.993222222222,0.00176889543502,0.993222222222,0.00176889543502
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X3 X5,0.993711111111,0.00214910358811,0.993711111111,0.00214910358811
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X4 Z6 Y7 Y9 Z10 X12,0.983111111111,0.00393172900589,0.983111111111,0.00393172900589
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X5 Z7 Y8 Y10 Z11 X13,0.981777777778,0.00322981006444,0.981777777778,0.00322981006444
3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,3.0199517204e-05,1,X6 X9,0.994488888889,0.00212940250885,0.994488888889,0.00212940250885
