CodeFamily,Category,Label,Operator,Toggle
xyz2,Stabilizer,S_0,X0 X1,Y0
xyz2,Stabilizer,S_1,X3 X5,X2 Z3
xyz2,Stabilizer,S_2,X8 X11,X2 X5 Y8
xyz2,Stabilizer,S_3,X2 X4,Y4 X6
xyz2,Stabilizer,S_4,X7 X10,X2 X6 Z7
xyz2,Stabilizer,S_5,X13 X15,Z15 X16
xyz2,Stabilizer,S_6,X6 X9,X2 X4 Z6 X7 X10
xyz2,Stabilizer,S_7,X12 X14,X13 Z14
xyz2,Stabilizer,S_8,X16 X17,Y17
xyz2,Stabilizer,S_9,X1 Z2 Y3 Y4 Z5 X7,X2
xyz2,Stabilizer,S_10,X5 Z7 Y8 Y10 Z11 X13,X11
xyz2,Stabilizer,S_11,X4 Z6 Y7 Y9 Z10 X12,X9
xyz2,Stabilizer,S_12,X10 Z12 Y13 Y14 Z15 X16,X13
xyz2,Stabilizer,S_13,Y0 Z1 X2,X1
xyz2,Stabilizer,S_14,X9 Y12 Z14,X12 X13
xyz2,Stabilizer,S_15,Z3 Y5 X8,X2 X5
xyz2,Stabilizer,S_16,X15 Z16 Y17,X16
xyz2,Logical,Logical X,X9 X10 X11,X2 Z7 Y10 X13
xyz2,Logical,Logical Y,X4 Z7 Y10 X13,-
xyz2,Logical,Logical Z,X4 Z7 X9 Z10 X11 X13,-
