g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1,1,1,1,1,1,1,1,1,Logical X,0.0145777777778,0.0108909373318,0.00491111111111,0.0178349034293
1,1,1,1,1,1,1,1,1,Logical Y,0.0148222222222,0.00978024176547,0.0014,0.0156477998404
1,1,1,1,1,1,1,1,1,Logical Z,0.0142222222222,0.0121438798844,0.00477777777778,0.0185440003482
1,1,1,1,1,1,1,1,1,X0 X1,0.0152888888889,0.0117521444471,0.0152888888889,0.0117521444471
1,1,1,1,1,1,1,1,1,X1 Z2 Y3 Y4 Z5 X7,0.0138444444444,0.0116733095483,0.0138444444444,0.0116733095483
1,1,1,1,1,1,1,1,1,X10 Z12 Y13 Y14 Z15 X16,0.0127333333333,0.00945787190631,0.0127333333333,0.00945787190631
1,1,1,1,1,1,1,1,1,X12 X14,0.0128888888889,0.0133509462214,0.0128888888889,0.0133509462214
1,1,1,1,1,1,1,1,1,X13 X15,0.0141333333333,0.00926808059998,0.0141333333333,0.00926808059998
1,1,1,1,1,1,1,1,1,X15 Z16 Y17,0.0167555555556,0.0118647981653,0.0167555555556,0.0118647981653
1,1,1,1,1,1,1,1,1,X16 X17,0.0141777777778,0.0116802001417,0.0141777777778,0.0116802001417
1,1,1,1,1,1,1,1,1,X2 X4,0.0135111111111,0.00922421157512,0.0135111111111,0.00922421157512
1,1,1,1,1,1,1,1,1,X3 X5,0.0188444444444,0.0140529195051,0.0188444444444,0.0140529195051
1,1,1,1,1,1,1,1,1,X4 Z6 Y7 Y9 Z10 X12,0.0131555555556,0.00978063350843,0.0131555555556,0.00978063350843
1,1,1,1,1,1,1,1,1,X5 Z7 Y8 Y10 Z11 X13,0.0137555555556,0.0112136798412,0.0137555555556,0.0112136798412
1,1,1,1,1,1,1,1,1,X6 X9,0.0106,0.00878757395068,0.0106,0.00878757395068
1,1,1,1,1,1,1,1,1,X7 X10,0.0188222222222,0.008979642081,0.0188222222222,0.008979642081
1,1,1,1,1,1,1,1,1,X8 X11,0.0144888888889,0.0099206558511,0.0144888888889,0.0099206558511
1,1,1,1,1,1,1,1,1,X9 Y12 Z14,0.0130222222222,0.00996197111292,0.0130222222222,0.00996197111292
1,1,1,1,1,1,1,1,1,Y0 Z1 X2,0.0114888888889,0.0088576366313,0.0114888888889,0.0088576366313
1,1,1,1,1,1,1,1,1,Z3 Y5 X8,0.0135555555556,0.0136663395905,0.0135555555556,0.0136663395905
1,1,1,1,1,1,1,1,5,Logical X,0.0114222222222,0.00960161757339,0.00717777777778,0.0189305513039
1,1,1,1,1,1,1,1,5,Logical Y,0.0144444444444,0.0122806683375,0.000977777777778,0.0169567702171
1,1,1,1,1,1,1,1,5,Logical Z,0.0130666666667,0.0104395358156,0.00226666666667,0.0191382147644
1,1,1,1,1,1,1,1,5,X0 X1,0.0152444444444,0.0129517031923,0.0152444444444,0.0129517031923
1,1,1,1,1,1,1,1,5,X1 Z2 Y3 Y4 Z5 X7,0.0158222222222,0.012116842821,0.0158222222222,0.012116842821
1,1,1,1,1,1,1,1,5,X10 Z12 Y13 Y14 Z15 X16,0.0144888888889,0.00863199667163,0.0144888888889,0.00863199667163
1,1,1,1,1,1,1,1,5,X12 X14,0.0134888888889,0.00987846969291,0.0134888888889,0.00987846969291
1,1,1,1,1,1,1,1,5,X13 X15,0.0133111111111,0.0113791950147,0.0133111111111,0.0113791950147
1,1,1,1,1,1,1,1,5,X15 Z16 Y17,0.0135555555556,0.00955778286436,0.0135555555556,0.00955778286436
1,1,1,1,1,1,1,1,5,X16 X17,0.0196222222222,0.0130236252562,0.0196222222222,0.0130236252562
1,1,1,1,1,1,1,1,5,X2 X4,0.0133555555556,0.0104393645427,0.0133555555556,0.0104393645427
1,1,1,1,1,1,1,1,5,X3 X5,0.0157555555556,0.0117176009122,0.0157555555556,0.0117176009122
1,1,1,1,1,1,1,1,5,X4 Z6 Y7 Y9 Z10 X12,0.012,0.0105945840281,0.012,0.0105945840281
1,1,1,1,1,1,1,1,5,X5 Z7 Y8 Y10 Z11 X13,0.0159333333333,0.0105283416078,0.0159333333333,0.0105283416078
1,1,1,1,1,1,1,1,5,X6 X9,0.0135777777778,0.0109858611095,0.0135777777778,0.0109858611095
1,1,1,1,1,1,1,1,5,X7 X10,0.0160888888889,0.0120938011205,0.0160888888889,0.0120938011205
1,1,1,1,1,1,1,1,5,X8 X11,0.0134444444444,0.00955738198708,0.0134444444444,0.00955738198708
1,1,1,1,1,1,1,1,5,X9 Y12 Z14,0.0155777777778,0.0108015655646,0.0155777777778,0.0108015655646
1,1,1,1,1,1,1,1,5,Y0 Z1 X2,0.0164666666667,0.0121738995978,0.0164666666667,0.0121738995978
1,1,1,1,1,1,1,1,5,Z3 Y5 X8,0.0108666666667,0.00736180470961,0.0108666666667,0.00736180470961
1,1,1,1,1,1,1,1,10,Logical X,0.0139333333333,0.0103403387451,0.000844444444444,0.0153926223392
1,1,1,1,1,1,1,1,10,Logical Y,0.0137333333333,0.0118193295801,0.000155555555556,0.0158456959198
1,1,1,1,1,1,1,1,10,Logical Z,0.0150444444444,0.0118492230482,0.00288888888889,0.0179435755338
1,1,1,1,1,1,1,1,10,X0 X1,0.0152,0.0131147601909,0.0152,0.0131147601909
1,1,1,1,1,1,1,1,10,X1 Z2 Y3 Y4 Z5 X7,0.0169777777778,0.00827076897347,0.0169777777778,0.00827076897347
1,1,1,1,1,1,1,1,10,X10 Z12 Y13 Y14 Z15 X16,0.0109777777778,0.00873401477263,0.0109777777778,0.00873401477263
1,1,1,1,1,1,1,1,10,X12 X14,0.0144,0.0084429117383,0.0144,0.0084429117383
1,1,1,1,1,1,1,1,10,X13 X15,0.0143777777778,0.0110944165769,0.0143777777778,0.0110944165769
1,1,1,1,1,1,1,1,10,X15 Z16 Y17,0.0129777777778,0.00801671306572,0.0129777777778,0.00801671306572
1,1,1,1,1,1,1,1,10,X16 X17,0.0170888888889,0.012130179372,0.0170888888889,0.012130179372
1,1,1,1,1,1,1,1,10,X2 X4,0.0125333333333,0.0116492809704,0.0125333333333,0.0116492809704
1,1,1,1,1,1,1,1,10,X3 X5,0.0113333333333,0.007105121999,0.0113333333333,0.007105121999
1,1,1,1,1,1,1,1,10,X4 Z6 Y7 Y9 Z10 X12,0.0162,0.0109979447749,0.0162,0.0109979447749
1,1,1,1,1,1,1,1,10,X5 Z7 Y8 Y10 Z11 X13,0.0150444444444,0.00922877946266,0.0150444444444,0.00922877946266
1,1,1,1,1,1,1,1,10,X6 X9,0.0120222222222,0.00717270973945,0.0120222222222,0.00717270973945
1,1,1,1,1,1,1,1,10,X7 X10,0.0149777777778,0.0123396794277,0.0149777777778,0.0123396794277
1,1,1,1,1,1,1,1,10,X8 X11,0.0144666666667,0.00847651703214,0.0144666666667,0.00847651703214
1,1,1,1,1,1,1,1,10,X9 Y12 Z14,0.0175333333333,0.0152477873528,0.0175333333333,0.0152477873528
1,1,1,1,1,1,1,1,10,Y0 Z1 X2,0.0148,0.0101625109275,0.0148,0.0101625109275
1,1,1,1,1,1,1,1,10,Z3 Y5 X8,0.0148,0.0119300644081,0.0148,0.0119300644081
