CodeFamily,Category,Label,Operator,Toggle
xyz2,Stabilizer,S_0,X0 X1,Y0
xyz2,Stabilizer,S_1,X3 X5,X2 Z3
xyz2,Stabilizer,S_2,X8 X11,X2 X5 Y8
xyz2,Stabilizer,S_3,X15 X19,X12 X13 X14 Z15
xyz2,Stabilizer,S_4,X24 X29,X12 X13 X14 X19 Y24
xyz2,Stabilizer,S_5,X2 X4,Y4 X7 X11
xyz2,Stabilizer,S_6,X7 X10,X4 Y7 X11
xyz2,Stabilizer,S_7,X14 X18,X12 X13 Y18 X23 X29
xyz2,Stabilizer,S_8,X23 X28,X12 X13 X18 Y23 X29
xyz2,Stabilizer,S_9,X33 X37,X29 Y33
xyz2,Stabilizer,S_10,X6 X9,Y6 X10 X11
xyz2,Stabilizer,S_11,X13 X17,X12 Y17 X20 X21
xyz2,Stabilizer,S_12,X22 X27,X12 X13 X20 X21 Z22
xyz2,Stabilizer,S_13,X32 X36,Z36 X37 X38 X39
xyz2,Stabilizer,S_14,X40 X43,X38 X39 Y43
xyz2,Stabilizer,S_15,X12 X16,Y16 X20
xyz2,Stabilizer,S_16,X21 X26,X12 X13 X17 X20 Z21 X22 X27
xyz2,Stabilizer,S_17,X31 X35,X32 Z35 X37 X38
xyz2,Stabilizer,S_18,X39 X42,X38 Y42 X45
xyz2,Stabilizer,S_19,X45 X47,Z47 X48
xyz2,Stabilizer,S_20,X20 X25,X12 X13 Z22 Y25 Y27 X30 X31
xyz2,Stabilizer,S_21,X30 X34,X31 X32 Z34 X37
xyz2,Stabilizer,S_22,X38 X41,Y41 X44 X45
xyz2,Stabilizer,S_23,X44 X46,X45 Z46
xyz2,Stabilizer,S_24,X48 X49,Y49
xyz2,Stabilizer,S_25,X1 Z2 Y3 Y4 Z5 X7,X2
xyz2,Stabilizer,S_26,X5 Z7 Y8 Y10 Z11 X14,X11
xyz2,Stabilizer,S_27,X11 Z14 Y15 Y18 Z19 X23,X12 X13 X14
xyz2,Stabilizer,S_28,X19 Z23 Y24 Y28 Z29 X33,X29
xyz2,Stabilizer,S_29,X4 Z6 Y7 Y9 Z10 X13,X10 X11
xyz2,Stabilizer,S_30,X10 Z13 Y14 Y17 Z18 X22,X12 X13
xyz2,Stabilizer,S_31,X18 Z22 Y23 Y27 Z28 X32,X28 X29
xyz2,Stabilizer,S_32,X28 Z32 Y33 Y36 Z37 X40,X37
xyz2,Stabilizer,S_33,X9 Z12 Y13 Y16 Z17 X21,X12
xyz2,Stabilizer,S_34,X17 Z21 Y22 Y26 Z27 X31,X20 X26
xyz2,Stabilizer,S_35,X27 Z31 Y32 Y35 Z36 X39,X32 X37
xyz2,Stabilizer,S_36,X36 Z39 Y40 Y42 Z43 X45,X38 X39
xyz2,Stabilizer,S_37,X16 Z20 Y21 Y25 Z26 X30,X20
xyz2,Stabilizer,S_38,X26 Z30 Y31 Y34 Z35 X38,X31 X32 X37
xyz2,Stabilizer,S_39,X35 Z38 Y39 Y41 Z42 X44,X38
xyz2,Stabilizer,S_40,X42 Z44 Y45 Y46 Z47 X48,X45
xyz2,Stabilizer,S_41,Y0 Z1 X2,X1
xyz2,Stabilizer,S_42,Y6 Z9 X12,X9 X10 X11
xyz2,Stabilizer,S_43,X25 Y30 Z34,X30 X31 X32 X37
xyz2,Stabilizer,S_44,X41 Y44 Z46,X44 X45
xyz2,Stabilizer,S_45,Z3 Y5 X8,X2 X5
xyz2,Stabilizer,S_46,Z15 Y19 X24,X12 X13 X14 X19
xyz2,Stabilizer,S_47,X37 Z40 Y43,X38 X39 X40
xyz2,Stabilizer,S_48,X47 Z48 Y49,X48
xyz2,Logical,Logical X,X25 X26 X27 X28 X29,X12 X13 Z22 Y27 X32 X37
xyz2,Logical,Logical Y,X16 X17 Z22 Y27 X32 X33,-
xyz2,Logical,Logical Z,X16 X17 Z22 X25 X26 Z27 X28 X29 X32 X33,-
