noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,0,0.021,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,1,0.069,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,2,0.023,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,3,0.005,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,4,0.001,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,5,0.001,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,6,0.025,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,7,0.008,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,8,0.027,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,9,0.002,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,10,0.011,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,11,0.002,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,12,0.02,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,13,0.023,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,14,0.042,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,15,0.01,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,16,0.007,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,17,0.032,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,18,0.055,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,19,0.01,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,20,0.016,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,21,0.009,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,22,0.01,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,23,0.008,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,24,0.023,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,25,0.005,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,26,0.002,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,27,0.017,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,28,0.015,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,0,29,0.004,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,0,0.899,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,1,0.9,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,2,0.882,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,3,0.884,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,4,0.901,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,5,0.884,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,6,0.857,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,7,0.909,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,8,0.869,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,9,0.885,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,10,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,11,0.889,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,12,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,13,0.905,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,14,0.897,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,15,0.885,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,16,0.897,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,17,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,18,0.878,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,19,0.885,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,20,0.901,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,21,0.903,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,22,0.883,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,23,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,24,0.878,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,25,0.885,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,26,0.882,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,27,0.902,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,28,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,1,29,0.898,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,0,0.873,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,1,0.892,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,2,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,3,0.899,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,4,0.9,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,5,0.882,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,6,0.887,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,7,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,8,0.874,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,9,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,10,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,11,0.876,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,12,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,13,0.889,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,14,0.905,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,15,0.881,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,16,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,17,0.899,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,18,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,19,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,20,0.902,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,21,0.898,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,22,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,23,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,24,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,25,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,26,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,27,0.86,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,28,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,2,29,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,0,0.874,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,1,0.871,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,2,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,3,0.878,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,4,0.901,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,5,0.874,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,6,0.877,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,7,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,8,0.895,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,9,0.898,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,10,0.901,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,11,0.881,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,12,0.9,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,13,0.878,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,14,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,15,0.867,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,16,0.89,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,17,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,18,0.871,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,19,0.881,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,20,0.898,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,21,0.892,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,22,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,23,0.882,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,24,0.877,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,25,0.877,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,26,0.865,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,27,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,28,0.871,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,3,29,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,0,0.871,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,1,0.875,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,2,0.896,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,3,0.903,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,4,0.874,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,5,0.889,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,6,0.88,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,7,0.892,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,8,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,9,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,10,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,11,0.874,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,12,0.888,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,13,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,14,0.911,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,15,0.879,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,16,0.862,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,17,0.901,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,18,0.877,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,19,0.886,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,20,0.893,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,21,0.876,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,22,0.89,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,23,0.86,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,24,0.899,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,25,0.895,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,26,0.89,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,27,0.9,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,28,0.891,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,4,29,0.901,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,0,0.878,0.001339,final_round,2000,30,3,
unbiased,Unbiased Depolarizing Noise,stabilizer,X0 X1,5,1,0.898,0.001339,final_round,2000,30,3,
