noise_model,display_name,category,operator,round,replicate_idx,fidelity,p_spam,recovery_mode,shots,num_replicates,distance,signed_fidelity
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,0,0.036,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,1,0.016,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,2,0.004,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,3,0.01,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,4,0.002,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,5,0.038,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,6,0.02,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,7,0.014,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,8,0,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,9,0.016,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,10,0.013,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,11,0.023,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,12,0.035,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,13,0.001,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,14,0.013,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,15,0.018,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,16,0.021,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,17,0.012,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,18,0.019,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,19,0.01,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,20,0.033,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,21,0.005,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,22,0.028,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,23,0.022,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,24,0.015,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,25,0.023,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,26,0.009,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,27,0.013,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,28,0.044,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,0,29,0.006,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,0,0.89,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,1,0.888,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,2,0.898,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,3,0.885,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,4,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,5,0.892,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,6,0.892,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,7,0.902,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,8,0.886,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,9,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,10,0.893,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,11,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,12,0.892,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,13,0.881,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,14,0.883,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,15,0.884,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,16,0.91,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,17,0.91,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,18,0.895,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,19,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,20,0.904,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,21,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,22,0.92,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,23,0.874,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,24,0.899,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,25,0.876,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,26,0.888,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,27,0.89,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,28,0.905,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,1,29,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,0,0.884,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,1,0.911,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,2,0.916,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,3,0.909,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,4,0.9,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,5,0.881,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,6,0.894,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,7,0.887,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,8,0.897,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,9,0.91,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,10,0.896,0.001339,final_round,2000,30,3,
z_type,Z Type Noise,stabilizer,X0 X1 X3,2,11,0.898,0.001339,final_round,2000,30,3,
