distance,index,category,label,constraint,generated_toggle,generated_weight,optimization_status,stim_destabilizer,stim_weight,weight_delta
3,0,Stabilizer,S_0,X0 X1,Y0,1,exact_optimal,Z1 X2,2,1
3,1,Stabilizer,S_1,X3 X5,X2 Z3,2,exact_optimal,X2 Z3,2,0
3,2,Stabilizer,S_2,X8 X11,X2 X5 Y8,3,exact_optimal,X2 X5 Z8 X11,4,1
3,3,Stabilizer,S_3,X2 X4,Y4 X6,2,exact_optimal,X2 Z4 X9,3,1
3,4,Stabilizer,S_4,X7 X10,X2 X6 Z7,3,exact_optimal,X2 Z7 X9,3,0
3,5,Stabilizer,S_5,X13 X15,Z15 X16,2,exact_optimal,X11 Z13 X15,3,1
3,6,Stabilizer,S_6,X6 X9,X2 X4 Z6 X7 X10,5,exact_optimal,Z6,1,-4
3,7,Stabilizer,S_7,X12 X14,X13 Z14,2,exact_optimal,X9 Z12 X14 X15,4,2
3,8,Stabilizer,S_8,X16 X17,Y17,1,exact_optimal,X15 Z16,2,1
3,9,Stabilizer,S_9,X1 Z2 Y3 Y4 Z5 X7,X2,1,exact_optimal,X2,1,0
3,10,Stabilizer,S_10,X5 Z7 Y8 Y10 Z11 X13,X11,1,exact_optimal,X11,1,0
3,11,Stabilizer,S_11,X4 Z6 Y7 Y9 Z10 X12,X9,1,exact_optimal,X9,1,0
3,12,Stabilizer,S_12,X10 Z12 Y13 Y14 Z15 X16,X13,1,exact_optimal,X15,1,0
3,13,Stabilizer,S_13,Y0 Z1 X2,X1,1,exact_optimal,Z0 Z1 X2,3,2
3,14,Stabilizer,S_14,X9 Y12 Z14,X12 X13,2,exact_optimal,X14 X15,2,0
3,15,Stabilizer,S_15,Z3 Y5 X8,X2 X5,2,exact_optimal,X2 X5,2,0
3,16,Stabilizer,S_16,X15 Z16 Y17,X16,1,exact_optimal,X17,1,0
3,17,Logical,Logical X,X9 X10 X11,X2 Z7 Y10 X13,4,exact_optimal,X2 Z7 X9 Z10 X11 X15,6,2
5,0,Stabilizer,S_0,X0 X1,Y0,1,exact_optimal,Z1 X4,2,1
5,1,Stabilizer,S_1,X3 X5,X2 Z3,2,exact_optimal,Z3 X4,2,0
5,2,Stabilizer,S_2,X8 X11,X2 X5 Y8,3,exact_optimal,X4 X5 Z8 X11,4,1
5,3,Stabilizer,S_3,X15 X19,X12 X13 X14 Z15,4,exact_optimal,X11 Z14 Z15 Z18 Z20 Z22 Z25 Z27 Z30 Z31 Z34 Z35 X41,13,9
5,4,Stabilizer,S_4,X24 X29,X12 X13 X14 X19 Y24,5,exact_optimal,X11 Z14 Z18 X19 Z20 Z22 Z24 Z25 Z27 X29 Z30 Z31 Z34 Z35 X41,15,10
5,5,Stabilizer,S_5,X2 X4,Y4 X7 X11,3,exact_optimal,Z0 Z1 Z2 X4,4,1
5,6,Stabilizer,S_6,X7 X10,X4 Y7 X11,3,exact_optimal,X4 Z7 X11 X12 Z13 Z14 Z17 Z18 Z20 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,19,16
5,7,Stabilizer,S_7,X14 X18,X12 X13 Y18 X23 X29,5,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17 Z18 Z20 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,19,14
5,8,Stabilizer,S_8,X23 X28,X12 X13 X18 Y23 X29,5,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17 Z20 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,17,12
5,9,Stabilizer,S_9,X33 X37,X29 Y33,2,exact_optimal,X29 Z33 X37,3,1
5,10,Stabilizer,S_10,X6 X9,Y6 X10 X11,3,exact_optimal,Z6 X9 X11 X12 Z13 Z14 Z17 Z18 Z20 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,19,16
5,11,Stabilizer,S_11,X13 X17,X12 Y17 X20 X21,4,exact_optimal,X11 Z14 Z17 Z18 Z20 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,15,11
5,12,Stabilizer,S_12,X22 X27,X12 X13 X20 X21 Z22,5,exact_optimal,X11 Z14 Z18 Z20 Z22 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,15,10
5,13,Stabilizer,S_13,X32 X36,Z36 X37 X38 X39,4,exact_optimal,X4 Z7 Z10 X12 Z13 Z14 Z17 Z18 Z22 Z23 Z27 Z28 X29 Z32 X37,15,11
5,14,Stabilizer,S_14,X40 X43,X38 X39 Y43,3,exact_optimal,X37 Z40 X41 X42,4,1
5,15,Stabilizer,S_15,X12 X16,Y16 X20,2,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z16 Z17 Z20 Z21 Z25 Z26 Z30 Z34,14,12
5,16,Stabilizer,S_16,X21 X26,X12 X13 X17 X20 Z21 X22 X27,7,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17 Z20 Z25 Z26 Z30 Z34,12,5
5,17,Stabilizer,S_17,X31 X35,X32 Z35 X37 X38,4,exact_optimal,Z35 X36 X37 X41,4,0
5,18,Stabilizer,S_18,X39 X42,X38 Y42 X45,3,exact_optimal,X36 X37 Z39 X41,4,1
5,19,Stabilizer,S_19,X45 X47,Z47 X48,2,exact_optimal,X41 X42 Z45 X47,4,2
5,20,Stabilizer,S_20,X20 X25,X12 X13 Z22 Y25 Y27 X30 X31,7,exact_optimal,Z20,1,-6
5,21,Stabilizer,S_21,X30 X34,X31 X32 Z34 X37,4,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17 Z31 Z34 Z35 X36 X37 X41,13,9
5,22,Stabilizer,S_22,X38 X41,Y41 X44 X45,3,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17 Z31 Z35 X36 X37 Z38 X41,13,10
5,23,Stabilizer,S_23,X44 X46,X45 Z46,2,exact_optimal,X41 Z44 X46 X47,4,2
5,24,Stabilizer,S_24,X48 X49,Y49,1,exact_optimal,X47 Z48,2,1
5,25,Stabilizer,S_25,X1 Z2 Y3 Y4 Z5 X7,X2,1,exact_optimal,X4,1,0
5,26,Stabilizer,S_26,X5 Z7 Y8 Y10 Z11 X14,X11,1,exact_optimal,X11,1,0
5,27,Stabilizer,S_27,X11 Z14 Y15 Y18 Z19 X23,X12 X13 X14,3,exact_optimal,X11 Z14 Z18 Z20 Z22 Z25 Z27 Z30 Z31 Z34 Z35 X41,12,9
5,28,Stabilizer,S_28,X19 Z23 Y24 Y28 Z29 X33,X29,1,exact_optimal,X29,1,0
5,29,Stabilizer,S_29,X4 Z6 Y7 Y9 Z10 X13,X10 X11,2,exact_optimal,X11 X12 Z13 Z14 Z17 Z18 Z20 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,17,15
5,30,Stabilizer,S_30,X10 Z13 Y14 Y17 Z18 X22,X12 X13,2,exact_optimal,X4 Z7 Z10 X12 Z13 Z14 Z17 Z18 Z20 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,19,17
5,31,Stabilizer,S_31,X18 Z22 Y23 Y27 Z28 X32,X28 X29,2,exact_optimal,X4 Z7 Z10 X12 Z13 Z14 Z17 Z18 Z22 Z23 Z27 Z28 X29 X36,14,12
5,32,Stabilizer,S_32,X28 Z32 Y33 Y36 Z37 X40,X37,1,exact_optimal,X37,1,0
5,33,Stabilizer,S_33,X9 Z12 Y13 Y16 Z17 X21,X12,1,exact_optimal,X12,1,0
5,34,Stabilizer,S_34,X17 Z21 Y22 Y26 Z27 X31,X20 X26,2,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17,7,5
5,35,Stabilizer,S_35,X27 Z31 Y32 Y35 Z36 X39,X32 X37,2,exact_optimal,X36 X37,2,0
5,36,Stabilizer,S_36,X36 Z39 Y40 Y42 Z43 X45,X38 X39,2,exact_optimal,X41 X42,2,0
5,37,Stabilizer,S_37,X16 Z20 Y21 Y25 Z26 X30,X20,1,exact_optimal,X4 Z7 Z10 X11 Z13 Z17 Z20 Z21 Z25 Z26 Z30 Z34,12,11
5,38,Stabilizer,S_38,X26 Z30 Y31 Y34 Z35 X38,X31 X32 X37,3,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17 Z31 Z35 X36 X37 X41,12,9
5,39,Stabilizer,S_39,X35 Z38 Y39 Y41 Z42 X44,X38,1,exact_optimal,X41,1,0
5,40,Stabilizer,S_40,X42 Z44 Y45 Y46 Z47 X48,X45,1,exact_optimal,X47,1,0
5,41,Stabilizer,S_41,Y0 Z1 X2,X1,1,exact_optimal,Z0 Z1 X4,3,2
5,42,Stabilizer,S_42,Y6 Z9 X12,X9 X10 X11,3,exact_optimal,X9 X11 X12 Z13 Z14 Z17 Z18 Z20 Z23 Z25 Z28 X29 Z30 Z31 Z34 Z35 X36 X41,18,15
5,43,Stabilizer,S_43,X25 Y30 Z34,X30 X31 X32 X37,4,exact_optimal,X12 Z20 Z21 Z25 Z26 Z31 Z35 X36 X37 X41,10,6
5,44,Stabilizer,S_44,X41 Y44 Z46,X44 X45,2,exact_optimal,X46 X47,2,0
5,45,Stabilizer,S_45,Z3 Y5 X8,X2 X5,2,exact_optimal,X4 X5,2,0
5,46,Stabilizer,S_46,Z15 Y19 X24,X12 X13 X14 X19,4,exact_optimal,X11 Z14 Z18 X19 Z20 Z22 Z25 Z27 Z30 Z31 Z34 Z35 X41,13,9
5,47,Stabilizer,S_47,X37 Z40 Y43,X38 X39 X40,3,exact_optimal,X41 X42 X43,3,0
5,48,Stabilizer,S_48,X47 Z48 Y49,X48,1,exact_optimal,X49,1,0
5,49,Logical,Logical X,X25 X26 X27 X28 X29,X12 X13 Z22 Y27 X32 X37,6,exact_optimal,X4 Z7 Z10 X11 X12 Z13 Z17 Z20 Z25 Z30 Z31 Z34 Z35 X36 X37 X41,16,10
7,0,Stabilizer,S_0,X0 X1,Y0,1,exact_optimal,Z0 X1,2,1
7,1,Stabilizer,S_1,X3 X5,X2 Z3,2,exact_optimal,X1 Z2 Z3 Z4 X10 X11,6,4
7,2,Stabilizer,S_2,X8 X11,X2 X5 Y8,3,exact_optimal,X1 Z2 Z4 X5 Z8 X10,6,3
