g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.9988,0.000828607288354,0.998755555556,0.000954655193749
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0117111111111,0.00920383617061,-0.00346666666667,0.0169021524848
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0133555555556,0.0105764624573,4.98732999343e-19,0.0199846684531
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.9998,0.000397308955512,0.9998,0.000397308955512
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.998822222222,0.000887259042173,0.998822222222,0.000887259042173
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.998866666667,0.000823970389677,0.998866666667,0.000823970389677
1e-05,1e-05,1e-05,1e-05,1,X100 Z110 Y111 Y121 Z122 X132,0.998733333333,0.00089870063717,0.998733333333,0.00089870063717
1e-05,1e-05,1e-05,1e-05,1,X101 Z111 Y112 Y122 Z123 X133,0.999355555556,0.000666283414743,0.999355555556,0.000666283414743
1e-05,1e-05,1e-05,1e-05,1,X102 Z112 Y113 Y123 Z124 X134,0.999333333333,0.000606478434863,0.999333333333,0.000606478434863
1e-05,1e-05,1e-05,1e-05,1,X103 Z113 Y114 Y124 Z125 X135,0.999511111111,0.000578896647274,0.999511111111,0.000578896647274
1e-05,1e-05,1e-05,1e-05,1,X104 Z114 Y115 Y125 Z126 X136,0.999266666667,0.000663209426422,0.999266666667,0.000663209426422
1e-05,1e-05,1e-05,1e-05,1,X105 Z115 Y116 Y126 Z127 X137,0.999333333333,0.000580658893808,0.999333333333,0.000580658893808
1e-05,1e-05,1e-05,1e-05,1,X106 Z116 Y117 Y127 Z128 X138,0.999244444444,0.000757761036208,0.999244444444,0.000757761036208
1e-05,1e-05,1e-05,1e-05,1,X107 Z117 Y118 Y128 Z129 X139,0.999266666667,0.000663209426422,0.999266666667,0.000663209426422
1e-05,1e-05,1e-05,1e-05,1,X108 Z118 Y119 Y129 Z130 X140,0.998844444444,0.000908593849948,0.998844444444,0.000908593849948
1e-05,1e-05,1e-05,1e-05,1,X109 Z119 Y120 Y130 Z131 X141,0.9988,0.000750989130633,0.9988,0.000750989130633
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999133333333,0.000703575978191,0.999133333333,0.000703575978191
1e-05,1e-05,1e-05,1e-05,1,X110 X121,0.999311111111,0.000866283440176,0.999311111111,0.000866283440176
1e-05,1e-05,1e-05,1e-05,1,X111 X122,0.999711111111,0.000378880518104,0.999711111111,0.000378880518104
1e-05,1e-05,1e-05,1e-05,1,X112 X123,0.999777777778,0.000404318956575,0.999777777778,0.000404318956575
1e-05,1e-05,1e-05,1e-05,1,X113 X124,0.999666666667,0.000487388851658,0.999666666667,0.000487388851658
1e-05,1e-05,1e-05,1e-05,1,X114 X125,0.999666666667,0.000487388851658,0.999666666667,0.000487388851658
1e-05,1e-05,1e-05,1e-05,1,X115 X126,0.999511111111,0.000604791426213,0.999511111111,0.000604791426213
1e-05,1e-05,1e-05,1e-05,1,X116 X127,0.999644444444,0.000454296924974,0.999644444444,0.000454296924974
1e-05,1e-05,1e-05,1e-05,1,X117 X128,0.999666666667,0.000517879555222,0.999666666667,0.000517879555222
1e-05,1e-05,1e-05,1e-05,1,X118 X129,0.999577777778,0.000539144585228,0.999577777778,0.000539144585228
1e-05,1e-05,1e-05,1e-05,1,X119 X130,0.9992,0.000828607288354,0.9992,0.000828607288354
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.998933333333,0.00057000369697,0.998933333333,0.00057000369697
1e-05,1e-05,1e-05,1e-05,1,X120 X131,0.999133333333,0.000681445387461,0.999133333333,0.000681445387461
