g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994311111111,0.0018171876999,0.994733333333,0.00151972976021
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0153777777778,0.0145480399421,0.00828888888889,0.0167594505468
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0160888888889,0.00949245852442,0.00144444444444,0.0150321069748
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.9942,0.00195857482003,0.9942,0.00195857482003
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.9836,0.00337036896692,0.9836,0.00337036896692
1e-05,1e-05,1e-05,1e-05,1,X10 Z12 Y13 Y14 Z15 X16,0.982266666667,0.00313477589683,0.982266666667,0.00313477589683
1e-05,1e-05,1e-05,1e-05,1,X12 X14,0.994377777778,0.00169455592875,0.994377777778,0.00169455592875
1e-05,1e-05,1e-05,1e-05,1,X13 X15,0.994844444444,0.0019646947709,0.994844444444,0.0019646947709
1e-05,1e-05,1e-05,1e-05,1,X15 Z16 Y17,0.988422222222,0.00247273768788,0.988422222222,0.00247273768788
1e-05,1e-05,1e-05,1e-05,1,X16 X17,0.994911111111,0.00199219421827,0.994911111111,0.00199219421827
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.994777777778,0.00179469916226,0.994777777778,0.00179469916226
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.994577777778,0.00192370438727,0.994577777778,0.00192370438727
1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X12,0.984066666667,0.00376859374974,0.984066666667,0.00376859374974
1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X13,0.983133333333,0.00393101431735,0.983133333333,0.00393101431735
1e-05,1e-05,1e-05,1e-05,1,X6 X9,0.994888888889,0.00153960071784,0.994888888889,0.00153960071784
1e-05,1e-05,1e-05,1e-05,1,X7 X10,0.994977777778,0.00194745798224,0.994977777778,0.00194745798224
1e-05,1e-05,1e-05,1e-05,1,X8 X11,0.994755555556,0.0018171876999,0.994755555556,0.0018171876999
1e-05,1e-05,1e-05,1e-05,1,X9 Y12 Z14,0.9892,0.00222421366707,0.9892,0.00222421366707
1e-05,1e-05,1e-05,1e-05,1,Y0 Z1 X2,0.9888,0.00261091138064,0.9888,0.00261091138064
1e-05,1e-05,1e-05,1e-05,1,Z3 Y5 X8,0.989088888889,0.00288467125073,0.989088888889,0.00288467125073
1e-05,1e-05,1e-05,1e-05,5,Logical X,0.994733333333,0.00215385246936,0.994555555556,0.00176889543502
1e-05,1e-05,1e-05,1e-05,5,Logical Y,0.0164,0.0113469829906,-0.004,0.0169162915422
1e-05,1e-05,1e-05,1e-05,5,Logical Z,0.0138,0.0089084745911,0.00193333333333,0.0203316185446
1e-05,1e-05,1e-05,1e-05,5,X0 X1,0.994444444444,0.0017536679313,0.994444444444,0.0017536679313
1e-05,1e-05,1e-05,1e-05,5,X1 Z2 Y3 Y4 Z5 X7,0.984155555556,0.00282128382142,0.984155555556,0.00282128382142
1e-05,1e-05,1e-05,1e-05,5,X10 Z12 Y13 Y14 Z15 X16,0.982333333333,0.00341621107139,0.982333333333,0.00341621107139
1e-05,1e-05,1e-05,1e-05,5,X12 X14,0.994288888889,0.00189116383176,0.994288888889,0.00189116383176
1e-05,1e-05,1e-05,1e-05,5,X13 X15,0.995022222222,0.00174841654324,0.995022222222,0.00174841654324
1e-05,1e-05,1e-05,1e-05,5,X15 Z16 Y17,0.989822222222,0.00237440588791,0.989822222222,0.00237440588791
1e-05,1e-05,1e-05,1e-05,5,X16 X17,0.994244444444,0.00173742517319,0.994244444444,0.00173742517319
1e-05,1e-05,1e-05,1e-05,5,X2 X4,0.993733333333,0.00218388384742,0.993733333333,0.00218388384742
1e-05,1e-05,1e-05,1e-05,5,X3 X5,0.994311111111,0.00195531172287,0.994311111111,0.00195531172287
1e-05,1e-05,1e-05,1e-05,5,X4 Z6 Y7 Y9 Z10 X12,0.984177777778,0.00334450236072,0.984177777778,0.00334450236072
1e-05,1e-05,1e-05,1e-05,5,X5 Z7 Y8 Y10 Z11 X13,0.983711111111,0.00333417613866,0.983711111111,0.00333417613866
1e-05,1e-05,1e-05,1e-05,5,X6 X9,0.994488888889,0.0019093103875,0.994488888889,0.0019093103875
1e-05,1e-05,1e-05,1e-05,5,X7 X10,0.995066666667,0.00196209286965,0.995066666667,0.00196209286965
1e-05,1e-05,1e-05,1e-05,5,X8 X11,0.994133333333,0.00237096097368,0.994133333333,0.00237096097368
1e-05,1e-05,1e-05,1e-05,5,X9 Y12 Z14,0.989377777778,0.00286039588575,0.989377777778,0.00286039588575
1e-05,1e-05,1e-05,1e-05,5,Y0 Z1 X2,0.987866666667,0.00337400474896,0.987866666667,0.00337400474896
1e-05,1e-05,1e-05,1e-05,5,Z3 Y5 X8,0.987866666667,0.00221731258414,0.987866666667,0.00221731258414
1e-05,1e-05,1e-05,1e-05,10,Logical X,0.994977777778,0.00171299592664,0.994266666667,0.0018495106529
1e-05,1e-05,1e-05,1e-05,10,Logical Y,0.0103777777778,0.0077423715185,0.0038,0.0168674344471
1e-05,1e-05,1e-05,1e-05,10,Logical Z,0.0156,0.0116390148495,-0.00604444444444,0.0160075971746
1e-05,1e-05,1e-05,1e-05,10,X0 X1,0.995155555556,0.00174139005851,0.995155555556,0.00174139005851
1e-05,1e-05,1e-05,1e-05,10,X1 Z2 Y3 Y4 Z5 X7,0.983933333333,0.0032629347672,0.983933333333,0.0032629347672
1e-05,1e-05,1e-05,1e-05,10,X10 Z12 Y13 Y14 Z15 X16,0.983222222222,0.00371425062788,0.983222222222,0.00371425062788
1e-05,1e-05,1e-05,1e-05,10,X12 X14,0.994066666667,0.00197571462409,0.994066666667,0.00197571462409
1e-05,1e-05,1e-05,1e-05,10,X13 X15,0.995288888889,0.00190126663433,0.995288888889,0.00190126663433
1e-05,1e-05,1e-05,1e-05,10,X15 Z16 Y17,0.989777777778,0.00289448323637,0.989777777778,0.00289448323637
1e-05,1e-05,1e-05,1e-05,10,X16 X17,0.994377777778,0.00200140436007,0.994377777778,0.00200140436007
1e-05,1e-05,1e-05,1e-05,10,X2 X4,0.993622222222,0.00255923440021,0.993622222222,0.00255923440021
1e-05,1e-05,1e-05,1e-05,10,X3 X5,0.994555555556,0.00155692331767,0.994555555556,0.00155692331767
1e-05,1e-05,1e-05,1e-05,10,X4 Z6 Y7 Y9 Z10 X12,0.9838,0.00423142775466,0.9838,0.00423142775466
1e-05,1e-05,1e-05,1e-05,10,X5 Z7 Y8 Y10 Z11 X13,0.983666666667,0.00258347237297,0.983666666667,0.00258347237297
1e-05,1e-05,1e-05,1e-05,10,X6 X9,0.9942,0.00210927526549,0.9942,0.00210927526549
1e-05,1e-05,1e-05,1e-05,10,X7 X10,0.994066666667,0.00168245396401,0.994066666667,0.00168245396401
1e-05,1e-05,1e-05,1e-05,10,X8 X11,0.994911111111,0.00153111617147,0.994911111111,0.00153111617147
1e-05,1e-05,1e-05,1e-05,10,X9 Y12 Z14,0.989955555556,0.00210770041081,0.989955555556,0.00210770041081
1e-05,1e-05,1e-05,1e-05,10,Y0 Z1 X2,0.989111111111,0.00216791888365,0.989111111111,0.00216791888365
1e-05,1e-05,1e-05,1e-05,10,Z3 Y5 X8,0.989555555556,0.00319162377551,0.989555555556,0.00319162377551
1.44543977075e-05,1.44543977075e-05,1.44543977075e-05,1.44543977075e-05,1,Logical X,0.994155555556,0.0022054153714,0.994822222222,0.00215622298787
1.44543977075e-05,1.44543977075e-05,1.44543977075e-05,1.44543977075e-05,1,Logical Y,0.0148,0.00980483890232,-0.004,0.0175939731931
1.44543977075e-05,1.44543977075e-05,1.44543977075e-05,1.44543977075e-05,1,Logical Z,0.0157333333333,0.0120619092673,0.00655555555556,0.0176479695756
