g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994444444444,0.00192847851277,0.994244444444,0.00194548959322
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0128666666667,0.00863947990488,-0.000666666666667,0.0190598975204
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0157777777778,0.00967729630925,0.000755555555556,0.0176676281095
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.994066666667,0.00227159707182,0.994066666667,0.00227159707182
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.982311111111,0.00306123123169,0.982311111111,0.00306123123169
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.983866666667,0.00293166096528,0.983866666667,0.00293166096528
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.983955555556,0.00312171155203,0.983955555556,0.00312171155203
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.994466666667,0.00203532030296,0.994466666667,0.00203532030296
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.994266666667,0.00211254236621,0.994266666667,0.00211254236621
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.994466666667,0.00169877124852,0.994466666667,0.00169877124852
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.994333333333,0.00192383716184,0.994333333333,0.00192383716184
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X31,0.982911111111,0.00264637876388,0.982911111111,0.00264637876388
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X32,0.983955555556,0.00268347195092,0.983955555556,0.00268347195092
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X33,0.9828,0.00354240864439,0.9828,0.00354240864439
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X34,0.983466666667,0.00346808105541,0.983466666667,0.00346808105541
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.994022222222,0.00189763582159,0.994022222222,0.00189763582159
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.994666666667,0.00181943530459,0.994666666667,0.00181943530459
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.993555555556,0.0023705300074,0.993555555556,0.0023705300074
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.994311111111,0.00180873430765,0.994311111111,0.00180873430765
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.994911111111,0.00129227985692,0.994911111111,0.00129227985692
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.9944,0.00161980084865,0.9944,0.00161980084865
1e-05,1e-05,1e-05,1e-05,1,X25 Z30 Y31 Y36 Z37 X43,0.983422222222,0.00334358576571,0.983422222222,0.00334358576571
1e-05,1e-05,1e-05,1e-05,1,X26 Z31 Y32 Y37 Z38 X44,0.983355555556,0.00336073032262,0.983355555556,0.00336073032262
