g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999266666667,0.000563241847975,0.999044444444,0.000815244284821
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0150222222222,0.012272429098,-0.000311111111111,0.0171043525489
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0171333333333,0.011052157779,0.00408888888889,0.0172843989481
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999733333333,0.000449776445109,0.999733333333,0.000449776445109
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.999066666667,0.000832298207684,0.999066666667,0.000832298207684
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.999133333333,0.000823970389677,0.999133333333,0.000823970389677
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X100 Z107 Y108 Y114 Z115 X121,0.999488888889,0.000647620657456,0.999488888889,0.000647620657456
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X101 Z108 Y109 Y115 Z116 X122,0.999177777778,0.000904367153823,0.999177777778,0.000904367153823
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X102 Z109 Y110 Y116 Z117 X123,0.9994,0.000563241847975,0.9994,0.000563241847975
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X103 Z110 Y111 Y117 Z118 X124,0.999244444444,0.000852911773266,0.999244444444,0.000852911773266
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X104 Z111 Y112 Y118 Z119 X125,0.999511111111,0.000460994538189,0.999511111111,0.000460994538189
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X105 Z112 Y119,0.9998,0.000310727733133,0.9998,0.000310727733133
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X106 X113,0.999577777778,0.00044578342364,0.999577777778,0.00044578342364
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X107 X114,0.999711111111,0.000544800102771,0.999711111111,0.000544800102771
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X108 X115,0.999555555556,0.000474106001479,0.999555555556,0.000474106001479
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X109 X116,0.999355555556,0.000772780883396,0.999355555556,0.000772780883396
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999155555556,0.00074140455569,0.999155555556,0.00074140455569
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X110 X117,0.999777777778,0.000364448182394,0.999777777778,0.000364448182394
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X111 X118,0.999644444444,0.000454296924974,0.999644444444,0.000454296924974
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X112 X119,0.999488888889,0.000623507157111,0.999488888889,0.000623507157111
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X113 Y120 Z126,0.999911111111,0.000230497269095,0.999911111111,0.000230497269095
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X114 Z120 Y121 Y126 Z127 X132,0.999511111111,0.000629622117001,0.999511111111,0.000629622117001
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X115 Z121 Y122 Y127 Z128 X133,0.999422222222,0.000573577422869,0.999422222222,0.000573577422869
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X116 Z122 Y123 Y128 Z129 X134,0.999422222222,0.000517386101508,0.999422222222,0.000517386101508
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X117 Z123 Y124 Y129 Z130 X135,0.999133333333,0.000785890909142,0.999133333333,0.000785890909142
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X118 Z124 Y125 Y130 Z131 X136,0.9996,0.000513421398626,0.9996,0.000513421398626
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.999111111111,0.000589391096491,0.999111111111,0.000589391096491
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X120 X126,0.9998,0.000310727733133,0.9998,0.000310727733133
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X121 X127,0.999577777778,0.000593278657776,0.999577777778,0.000593278657776
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X122 X128,0.999777777778,0.000404318956575,0.999777777778,0.000404318956575
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X123 X129,0.9994,0.000589824313085,0.9994,0.000589824313085
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X124 X130,0.999733333333,0.0004826491392,0.999733333333,0.0004826491392
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X125 X131,0.999711111111,0.000485288027863,0.999711111111,0.000485288027863
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X127 Z132 Y133 Y137 Z138 X142,0.999644444444,0.00048686449556,0.999644444444,0.00048686449556
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X128 Z133 Y134 Y138 Z139 X143,0.999577777778,0.00044578342364,0.999577777778,0.00044578342364
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X129 Z134 Y135 Y139 Z140 X144,0.999244444444,0.000757761036208,0.999244444444,0.000757761036208
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.999555555556,0.000505398695719,0.999555555556,0.000505398695719
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X130 Z135 Y136 Y140 Z141 X145,0.999088888889,0.000811475801077,0.999088888889,0.000811475801077
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X131 Z136 Y141,0.999933333333,0.000268385266624,0.999933333333,0.000268385266624
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X132 X137,0.999688888889,0.000454296924974,0.999688888889,0.000454296924974
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X133 X138,0.999622222222,0.000417374877053,0.999622222222,0.000417374877053
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X134 X139,0.999666666667,0.000381567647648,0.999666666667,0.000381567647648
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X135 X140,0.999311111111,0.000642870319555,0.999311111111,0.000642870319555
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X136 X141,0.999555555556,0.000562788169409,0.999555555556,0.000562788169409
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X137 Y142 Z146,0.9998,0.000310727733133,0.9998,0.000310727733133
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X138 Z142 Y143 Y146 Z147 X150,0.999444444444,0.00060858061945,0.999444444444,0.00060858061945
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X139 Z143 Y144 Y147 Z148 X151,0.9994,0.000535341048598,0.9994,0.000535341048598
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.999488888889,0.000515902908485,0.999488888889,0.000515902908485
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X140 Z144 Y145 Y148 Z149 X152,0.998955555556,0.000776737125378,0.998955555556,0.000776737125378
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X142 X146,0.999844444444,0.000286788711435,0.999844444444,0.000286788711435
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X143 X147,0.999488888889,0.000647620657456,0.999488888889,0.000647620657456
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X144 X148,0.999622222222,0.000417374877053,0.999622222222,0.000417374877053
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X145 X149,0.999533333333,0.000499808392405,0.999533333333,0.000499808392405
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X147 Z150 Y151 Y153 Z154 X156,0.999622222222,0.000572239891108,0.999622222222,0.000572239891108
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X148 Z151 Y152 Y154 Z155 X157,0.999311111111,0.00068890124819,0.999311111111,0.00068890124819
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X149 Z152 Y155,0.999866666667,0.000271225401448,0.999866666667,0.000271225401448
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.999511111111,0.000551787991196,0.999511111111,0.000551787991196
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X150 X153,0.9998,0.000356655387081,0.9998,0.000356655387081
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X151 X154,0.999777777778,0.000364448182394,0.999777777778,0.000364448182394
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X152 X155,0.999733333333,0.000542450802897,0.999733333333,0.000542450802897
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X153 Y156 Z158,0.999711111111,0.000515902908485,0.999711111111,0.000515902908485
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X154 Z156 Y157 Y158 Z159 X160,0.999733333333,0.000414303644177,0.999733333333,0.000414303644177
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X156 X158,0.999911111111,0.000230497269095,0.999911111111,0.000230497269095
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X157 X159,0.999777777778,0.000364448182394,0.999777777778,0.000364448182394
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X159 Z160 Y161,0.999955555556,0.000169138754468,0.999955555556,0.000169138754468
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X31,0.999088888889,0.00079236458448,0.999088888889,0.00079236458448
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X160 X161,0.999866666667,0.000271225401448,0.999866666667,0.000271225401448
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X32,0.999177777778,0.000693336280571,0.999177777778,0.000693336280571
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X33,0.999,0.000816496580928,0.999,0.000816496580928
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X34,0.999266666667,0.000729246711534,0.999266666667,0.000729246711534
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.999466666667,0.000616503550965,0.999466666667,0.000616503550965
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.999977777778,0.00012171612389,0.999977777778,0.00012171612389
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.999533333333,0.000499808392405,0.999533333333,0.000499808392405
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.999666666667,0.000454858826147,0.999666666667,0.000454858826147
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.999666666667,0.000381567647648,0.999666666667,0.000381567647648
