g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.993133333333,0.00263864588516,0.993133333333,0.00220170606089
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0181555555556,0.0143856924807,-0.00853333333333,0.0168340104564
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0115555555556,0.00995673911957,0.00466666666667,0.0195661761477
1e-05,1e-05,1e-05,1e-05,1,X0 X1 X11,0.993733333333,0.00183286305358,0.993733333333,0.00183286305358
1e-05,1e-05,1e-05,1e-05,1,X1 X2 X12,0.992822222222,0.00215622298787,0.992822222222,0.00215622298787
1e-05,1e-05,1e-05,1e-05,1,X100 X110 X111 X121,0.993955555556,0.00206361163394,0.993955555556,0.00206361163394
1e-05,1e-05,1e-05,1e-05,1,X101 X111 X112 X122,0.993666666667,0.00207705951894,0.993666666667,0.00207705951894
1e-05,1e-05,1e-05,1e-05,1,X102 X112 X113 X123,0.993444444444,0.00198139494446,0.993444444444,0.00198139494446
1e-05,1e-05,1e-05,1e-05,1,X103 X113 X114 X124,0.993777777778,0.00176238547267,0.993777777778,0.00176238547267
1e-05,1e-05,1e-05,1e-05,1,X104 X114 X115 X125,0.990155555556,0.00232054514228,0.990155555556,0.00232054514228
1e-05,1e-05,1e-05,1e-05,1,X11 X21 X22 X32,0.994244444444,0.00203029419255,0.994244444444,0.00203029419255
1e-05,1e-05,1e-05,1e-05,1,X116 X126 X127 X137,0.993444444444,0.00227653923901,0.993444444444,0.00227653923901
1e-05,1e-05,1e-05,1e-05,1,X117 X127 X128 X138,0.994066666667,0.00196013917717,0.994066666667,0.00196013917717
1e-05,1e-05,1e-05,1e-05,1,X118 X128 X129 X139,0.994422222222,0.00165613530953,0.994422222222,0.00165613530953
1e-05,1e-05,1e-05,1e-05,1,X119 X129 X130 X140,0.994088888889,0.00198641619445,0.994088888889,0.00198641619445
1e-05,1e-05,1e-05,1e-05,1,X12 X22 X23 X33,0.993577777778,0.00266944299919,0.993577777778,0.00266944299919
1e-05,1e-05,1e-05,1e-05,1,X120 X130 X131 X141,0.993244444444,0.00179170787621,0.993244444444,0.00179170787621
1e-05,1e-05,1e-05,1e-05,1,X121 X131 X132 X142,0.993844444444,0.0022939756741,0.993844444444,0.0022939756741
1e-05,1e-05,1e-05,1e-05,1,X122 X132 X133 X143,0.994377777778,0.00178270390296,0.994377777778,0.00178270390296
1e-05,1e-05,1e-05,1e-05,1,X123 X133 X134 X144,0.993711111111,0.00219845528028,0.993711111111,0.00219845528028
1e-05,1e-05,1e-05,1e-05,1,X124 X134 X135 X145,0.993866666667,0.00231205403694,0.993866666667,0.00231205403694
1e-05,1e-05,1e-05,1e-05,1,X125 X135 X136 X146,0.990177777778,0.00277886568734,0.990177777778,0.00277886568734
1e-05,1e-05,1e-05,1e-05,1,X13 X23 X24 X34,0.993533333333,0.00234985937461,0.993533333333,0.00234985937461
1e-05,1e-05,1e-05,1e-05,1,X137 X147 X148 X158,0.9942,0.00158682313534,0.9942,0.00158682313534
1e-05,1e-05,1e-05,1e-05,1,X138 X148 X149 X159,0.994044444444,0.00225523373126,0.994044444444,0.00225523373126
1e-05,1e-05,1e-05,1e-05,1,X139 X149 X150 X160,0.993622222222,0.00193125796919,0.993622222222,0.00193125796919
1e-05,1e-05,1e-05,1e-05,1,X14 X24 X25 X35,0.993533333333,0.00214529691432,0.993533333333,0.00214529691432
1e-05,1e-05,1e-05,1e-05,1,X140 X150 X151 X161,0.994422222222,0.00231260635391,0.994422222222,0.00231260635391
1e-05,1e-05,1e-05,1e-05,1,X141 X151 X152 X162,0.994044444444,0.00158472916896,0.994044444444,0.00158472916896
1e-05,1e-05,1e-05,1e-05,1,X142 X152 X153 X163,0.993577777778,0.00175497832307,0.993577777778,0.00175497832307
1e-05,1e-05,1e-05,1e-05,1,X143 X153 X154 X164,0.994355555556,0.00213515248109,0.994355555556,0.00213515248109
1e-05,1e-05,1e-05,1e-05,1,X144 X154 X155 X165,0.993222222222,0.00232318537653,0.993222222222,0.00232318537653
1e-05,1e-05,1e-05,1e-05,1,X145 X155 X156 X166,0.993933333333,0.00209615594167,0.993933333333,0.00209615594167
1e-05,1e-05,1e-05,1e-05,1,X146 X156 X157 X167,0.989377777778,0.00205617159662,0.989377777778,0.00205617159662
1e-05,1e-05,1e-05,1e-05,1,X15 X25 X26 X36,0.993155555556,0.00242549253731,0.993155555556,0.00242549253731
1e-05,1e-05,1e-05,1e-05,1,X158 X168 X169 X179,0.994311111111,0.00238599575321,0.994311111111,0.00238599575321
1e-05,1e-05,1e-05,1e-05,1,X159 X169 X170 X180,0.993622222222,0.00260670125699,0.993622222222,0.00260670125699
1e-05,1e-05,1e-05,1e-05,1,X16 X26 X27 X37,0.993844444444,0.00197053648749,0.993844444444,0.00197053648749
1e-05,1e-05,1e-05,1e-05,1,X160 X170 X171 X181,0.993333333333,0.00221454612943,0.993333333333,0.00221454612943
1e-05,1e-05,1e-05,1e-05,1,X161 X171 X172 X182,0.994088888889,0.00172191939001,0.994088888889,0.00172191939001
1e-05,1e-05,1e-05,1e-05,1,X162 X172 X173 X183,0.993266666667,0.00216803670213,0.993266666667,0.00216803670213
1e-05,1e-05,1e-05,1e-05,1,X163 X173 X174 X184,0.993444444444,0.00208687438526,0.993444444444,0.00208687438526
1e-05,1e-05,1e-05,1e-05,1,X164 X174 X175 X185,0.994111111111,0.00215906417455,0.994111111111,0.00215906417455
1e-05,1e-05,1e-05,1e-05,1,X165 X175 X176 X186,0.993222222222,0.00224945005341,0.993222222222,0.00224945005341
1e-05,1e-05,1e-05,1e-05,1,X166 X176 X177 X187,0.993733333333,0.00208332183905,0.993733333333,0.00208332183905
