g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.9944,0.00174724742473,0.994511111111,0.00200140436007
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0180444444444,0.0137318974066,-0.00335555555556,0.0174623696858
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0164888888889,0.0128759877301,0.0006,0.0191620234256
1e-05,1e-05,1e-05,1e-05,1,X0 X1 X7,0.994177777778,0.00211495918701,0.994177777778,0.00211495918701
1e-05,1e-05,1e-05,1e-05,1,X1 X2 X8,0.993244444444,0.00189156897987,0.993244444444,0.00189156897987
1e-05,1e-05,1e-05,1e-05,1,X10 X16 X17 X23,0.994133333333,0.00189696268623,0.994133333333,0.00189696268623
1e-05,1e-05,1e-05,1e-05,1,X11 X17 X18 X24,0.994644444444,0.00212616131591,0.994644444444,0.00212616131591
1e-05,1e-05,1e-05,1e-05,1,X12 X18 X19 X25,0.992822222222,0.00204683351997,0.992822222222,0.00204683351997
1e-05,1e-05,1e-05,1e-05,1,X2 X3 X9,0.993111111111,0.00244061001943,0.993111111111,0.00244061001943
1e-05,1e-05,1e-05,1e-05,1,X20 X26 X27 X33,0.994155555556,0.00239848824248,0.994155555556,0.00239848824248
1e-05,1e-05,1e-05,1e-05,1,X21 X27 X28 X34,0.994733333333,0.00180548334663,0.994733333333,0.00180548334663
1e-05,1e-05,1e-05,1e-05,1,X22 X28 X29 X35,0.993911111111,0.00209164243395,0.993911111111,0.00209164243395
1e-05,1e-05,1e-05,1e-05,1,X23 X29 X30 X36,0.994466666667,0.00203532030296,0.994466666667,0.00203532030296
1e-05,1e-05,1e-05,1e-05,1,X24 X30 X31 X37,0.994,0.00222834405812,0.994,0.00222834405812
1e-05,1e-05,1e-05,1e-05,1,X25 X31 X32 X38,0.992644444444,0.00196118138869,0.992644444444,0.00196118138869
1e-05,1e-05,1e-05,1e-05,1,X3 X4 X10,0.993088888889,0.00236502830345,0.993088888889,0.00236502830345
1e-05,1e-05,1e-05,1e-05,1,X33 X39 X40 X46,0.994422222222,0.00166536347518,0.994422222222,0.00166536347518
1e-05,1e-05,1e-05,1e-05,1,X34 X40 X41 X47,0.994022222222,0.0020227316103,0.994022222222,0.0020227316103
1e-05,1e-05,1e-05,1e-05,1,X35 X41 X42 X48,0.9946,0.00156934229824,0.9946,0.00156934229824
1e-05,1e-05,1e-05,1e-05,1,X36 X42 X43 X49,0.993666666667,0.00220587859665,0.993666666667,0.00220587859665
1e-05,1e-05,1e-05,1e-05,1,X37 X43 X44 X50,0.994488888889,0.00200331780998,0.994488888889,0.00200331780998
1e-05,1e-05,1e-05,1e-05,1,X38 X44 X45 X51,0.992644444444,0.00225217363433,0.992644444444,0.00225217363433
1e-05,1e-05,1e-05,1e-05,1,X4 X5 X11,0.993,0.00255963359447,0.993,0.00255963359447
1e-05,1e-05,1e-05,1e-05,1,X46 X52 X53 X59,0.9936,0.00210527525707,0.9936,0.00210527525707
1e-05,1e-05,1e-05,1e-05,1,X47 X53 X54 X60,0.993777777778,0.00188019183283,0.993777777778,0.00188019183283
1e-05,1e-05,1e-05,1e-05,1,X48 X54 X55 X61,0.994244444444,0.00157064384712,0.994244444444,0.00157064384712
1e-05,1e-05,1e-05,1e-05,1,X49 X55 X56 X62,0.994377777778,0.00190730262952,0.994377777778,0.00190730262952
1e-05,1e-05,1e-05,1e-05,1,X5 X6 X12,0.993311111111,0.00194548959322,0.993311111111,0.00194548959322
1e-05,1e-05,1e-05,1e-05,1,X50 X56 X57 X63,0.9946,0.00187215940638,0.9946,0.00187215940638
1e-05,1e-05,1e-05,1e-05,1,X51 X57 X58 X64,0.993133333333,0.0022430821707,0.993133333333,0.0022430821707
1e-05,1e-05,1e-05,1e-05,1,X59 X65 X66 X72,0.993044444444,0.0019782986098,0.993044444444,0.0019782986098
1e-05,1e-05,1e-05,1e-05,1,X60 X66 X67 X73,0.994266666667,0.00223246680736,0.994266666667,0.00223246680736
1e-05,1e-05,1e-05,1e-05,1,X61 X67 X68 X74,0.993555555556,0.0021250798197,0.993555555556,0.0021250798197
1e-05,1e-05,1e-05,1e-05,1,X62 X68 X69 X75,0.9946,0.00189655869034,0.9946,0.00189655869034
1e-05,1e-05,1e-05,1e-05,1,X63 X69 X70 X76,0.9942,0.00203532030296,0.9942,0.00203532030296
1e-05,1e-05,1e-05,1e-05,1,X64 X70 X71 X77,0.992822222222,0.00235333517849,0.992822222222,0.00235333517849
1e-05,1e-05,1e-05,1e-05,1,X7 X13 X14 X20,0.9942,0.00230375339251,0.9942,0.00230375339251
1e-05,1e-05,1e-05,1e-05,1,X72 X78 X79,0.9938,0.00187869686637,0.9938,0.00187869686637
1e-05,1e-05,1e-05,1e-05,1,X73 X79 X80,0.995066666667,0.0015911633374,0.995066666667,0.0015911633374
1e-05,1e-05,1e-05,1e-05,1,X74 X80 X81,0.994377777778,0.00203933227246,0.994377777778,0.00203933227246
1e-05,1e-05,1e-05,1e-05,1,X75 X81 X82,0.994466666667,0.00192702100707,0.994466666667,0.00192702100707
1e-05,1e-05,1e-05,1e-05,1,X76 X82 X83,0.993866666667,0.00227867004297,0.993866666667,0.00227867004297
1e-05,1e-05,1e-05,1e-05,1,X77 X83 X84,0.992666666667,0.00198847252646,0.992666666667,0.00198847252646
1e-05,1e-05,1e-05,1e-05,1,X8 X14 X15 X21,0.994133333333,0.0023252734359,0.994133333333,0.0023252734359
1e-05,1e-05,1e-05,1e-05,1,X9 X15 X16 X22,0.994155555556,0.00200904722531,0.994155555556,0.00200904722531
1e-05,1e-05,1e-05,1e-05,1,Z0 Z7 Z13,0.986933333333,0.002815392829,0.986933333333,0.002815392829
1e-05,1e-05,1e-05,1e-05,1,Z1 Z7 Z8 Z14,0.984,0.00360501991428,0.984,0.00360501991428
1e-05,1e-05,1e-05,1e-05,1,Z13 Z20 Z26,0.986244444444,0.00321148959044,0.986244444444,0.00321148959044
1e-05,1e-05,1e-05,1e-05,1,Z14 Z20 Z21 Z27,0.983822222222,0.00357485185325,0.983822222222,0.00357485185325
1e-05,1e-05,1e-05,1e-05,1,Z15 Z21 Z22 Z28,0.983866666667,0.00315815553134,0.983866666667,0.00315815553134
1e-05,1e-05,1e-05,1e-05,1,Z16 Z22 Z23 Z29,0.9838,0.00293557907764,0.9838,0.00293557907764
1e-05,1e-05,1e-05,1e-05,1,Z17 Z23 Z24 Z30,0.983555555556,0.00379688653792,0.983555555556,0.00379688653792
1e-05,1e-05,1e-05,1e-05,1,Z18 Z24 Z25 Z31,0.984844444444,0.00319929749632,0.984844444444,0.00319929749632
1e-05,1e-05,1e-05,1e-05,1,Z19 Z25 Z32,0.986955555556,0.0027273741225,0.986955555556,0.0027273741225
1e-05,1e-05,1e-05,1e-05,1,Z2 Z8 Z9 Z15,0.983288888889,0.00367213107277,0.983288888889,0.00367213107277
1e-05,1e-05,1e-05,1e-05,1,Z26 Z33 Z39,0.9864,0.00307056224337,0.9864,0.00307056224337
1e-05,1e-05,1e-05,1e-05,1,Z27 Z33 Z34 Z40,0.983066666667,0.00373284068999,0.983066666667,0.00373284068999
1e-05,1e-05,1e-05,1e-05,1,Z28 Z34 Z35 Z41,0.984488888889,0.00452471572176,0.984488888889,0.00452471572176
1e-05,1e-05,1e-05,1e-05,1,Z29 Z35 Z36 Z42,0.983866666667,0.00344591490056,0.983866666667,0.00344591490056
1e-05,1e-05,1e-05,1e-05,1,Z3 Z9 Z10 Z16,0.9834,0.00330493651437,0.9834,0.00330493651437
1e-05,1e-05,1e-05,1e-05,1,Z30 Z36 Z37 Z43,0.984977777778,0.00254150728098,0.984977777778,0.00254150728098
1e-05,1e-05,1e-05,1e-05,1,Z31 Z37 Z38 Z44,0.983911111111,0.00265360787197,0.983911111111,0.00265360787197
1e-05,1e-05,1e-05,1e-05,1,Z32 Z38 Z45,0.986111111111,0.00307297369094,0.986111111111,0.00307297369094
1e-05,1e-05,1e-05,1e-05,1,Z39 Z46 Z52,0.985933333333,0.00308922239717,0.985933333333,0.00308922239717
1e-05,1e-05,1e-05,1e-05,1,Z4 Z10 Z11 Z17,0.983777777778,0.00337370191677,0.983777777778,0.00337370191677
1e-05,1e-05,1e-05,1e-05,1,Z40 Z46 Z47 Z53,0.984066666667,0.00350740868859,0.984066666667,0.00350740868859
1e-05,1e-05,1e-05,1e-05,1,Z41 Z47 Z48 Z54,0.984066666667,0.0032629347672,0.984066666667,0.0032629347672
1e-05,1e-05,1e-05,1e-05,1,Z42 Z48 Z49 Z55,0.984933333333,0.00353894587851,0.984933333333,0.00353894587851
1e-05,1e-05,1e-05,1e-05,1,Z43 Z49 Z50 Z56,0.983133333333,0.00375555782267,0.983133333333,0.00375555782267
1e-05,1e-05,1e-05,1e-05,1,Z44 Z50 Z51 Z57,0.982266666667,0.00362874855728,0.982266666667,0.00362874855728
1e-05,1e-05,1e-05,1e-05,1,Z45 Z51 Z58,0.986111111111,0.0032000159642,0.986111111111,0.0032000159642
1e-05,1e-05,1e-05,1e-05,1,Z5 Z11 Z12 Z18,0.982466666667,0.00328540252204,0.982466666667,0.00328540252204
1e-05,1e-05,1e-05,1e-05,1,Z52 Z59 Z65,0.987022222222,0.00294383352297,0.987022222222,0.00294383352297
1e-05,1e-05,1e-05,1e-05,1,Z53 Z59 Z60 Z66,0.984288888889,0.00365435061486,0.984288888889,0.00365435061486
1e-05,1e-05,1e-05,1e-05,1,Z54 Z60 Z61 Z67,0.984044444444,0.00353172087837,0.984044444444,0.00353172087837
1e-05,1e-05,1e-05,1e-05,1,Z55 Z61 Z62 Z68,0.984311111111,0.00337551850234,0.984311111111,0.00337551850234
1e-05,1e-05,1e-05,1e-05,1,Z56 Z62 Z63 Z69,0.983533333333,0.00295638797945,0.983533333333,0.00295638797945
1e-05,1e-05,1e-05,1e-05,1,Z57 Z63 Z64 Z70,0.983977777778,0.00346844929115,0.983977777778,0.00346844929115
1e-05,1e-05,1e-05,1e-05,1,Z58 Z64 Z71,0.987133333333,0.00341800506446,0.987133333333,0.00341800506446
1e-05,1e-05,1e-05,1e-05,1,Z6 Z12 Z19,0.986822222222,0.00244907259534,0.986822222222,0.00244907259534
1e-05,1e-05,1e-05,1e-05,1,Z65 Z72 Z78,0.986488888889,0.00263738715084,0.986488888889,0.00263738715084
1e-05,1e-05,1e-05,1e-05,1,Z66 Z72 Z73 Z79,0.984955555556,0.00254120575558,0.984955555556,0.00254120575558
1e-05,1e-05,1e-05,1e-05,1,Z67 Z73 Z74 Z80,0.983911111111,0.00304617508212,0.983911111111,0.00304617508212
1e-05,1e-05,1e-05,1e-05,1,Z68 Z74 Z75 Z81,0.984622222222,0.00360473648963,0.984622222222,0.00360473648963
1e-05,1e-05,1e-05,1e-05,1,Z69 Z75 Z76 Z82,0.984133333333,0.00343700841138,0.984133333333,0.00343700841138
1e-05,1e-05,1e-05,1e-05,1,Z70 Z76 Z77 Z83,0.9836,0.00331997322613,0.9836,0.00331997322613
1e-05,1e-05,1e-05,1e-05,1,Z71 Z77 Z84,0.9866,0.00275347220712,0.9866,0.00275347220712
1e-05,1e-05,1e-05,1e-05,5,Logical X,0.994266666667,0.00182448229155,0.994022222222,0.00186505129886
1e-05,1e-05,1e-05,1e-05,5,Logical Y,0.0148888888889,0.013542421877,0.00373333333333,0.0153574023985
1e-05,1e-05,1e-05,1e-05,5,Logical Z,0.0151333333333,0.0114619477058,0.000311111111111,0.016215723256
1e-05,1e-05,1e-05,1e-05,5,X0 X1 X7,0.994222222222,0.00196000886176,0.994222222222,0.00196000886176
1e-05,1e-05,1e-05,1e-05,5,X1 X2 X8,0.993822222222,0.00205617159662,0.993822222222,0.00205617159662
1e-05,1e-05,1e-05,1e-05,5,X10 X16 X17 X23,0.993666666667,0.00206224963649,0.993666666667,0.00206224963649
1e-05,1e-05,1e-05,1e-05,5,X11 X17 X18 X24,0.993688888889,0.00282155541645,0.993688888889,0.00282155541645
1e-05,1e-05,1e-05,1e-05,5,X12 X18 X19 X25,0.993488888889,0.00217744152537,0.993488888889,0.00217744152537
1e-05,1e-05,1e-05,1e-05,5,X2 X3 X9,0.993755555556,0.00259963648112,0.993755555556,0.00259963648112
1e-05,1e-05,1e-05,1e-05,5,X20 X26 X27 X33,0.9936,0.00233316912394,0.9936,0.00233316912394
1e-05,1e-05,1e-05,1e-05,5,X21 X27 X28 X34,0.994733333333,0.00190462232658,0.994733333333,0.00190462232658
1e-05,1e-05,1e-05,1e-05,5,X22 X28 X29 X35,0.9946,0.00164561416408,0.9946,0.00164561416408
1e-05,1e-05,1e-05,1e-05,5,X23 X29 X30 X36,0.993933333333,0.00175381357874,0.993933333333,0.00175381357874
1e-05,1e-05,1e-05,1e-05,5,X24 X30 X31 X37,0.993733333333,0.00215563060264,0.993733333333,0.00215563060264
1e-05,1e-05,1e-05,1e-05,5,X25 X31 X32 X38,0.992044444444,0.00190126663433,0.992044444444,0.00190126663433
1e-05,1e-05,1e-05,1e-05,5,X3 X4 X10,0.993244444444,0.00204720786085,0.993244444444,0.00204720786085
1e-05,1e-05,1e-05,1e-05,5,X33 X39 X40 X46,0.993733333333,0.0019146541158,0.993733333333,0.0019146541158
1e-05,1e-05,1e-05,1e-05,5,X34 X40 X41 X47,0.994266666667,0.00220483620298,0.994266666667,0.00220483620298
1e-05,1e-05,1e-05,1e-05,5,X35 X41 X42 X48,0.993866666667,0.00187256866629,0.993866666667,0.00187256866629
1e-05,1e-05,1e-05,1e-05,5,X36 X42 X43 X49,0.993866666667,0.0014479474176,0.993866666667,0.0014479474176
1e-05,1e-05,1e-05,1e-05,5,X37 X43 X44 X50,0.993511111111,0.00172369853916,0.993511111111,0.00172369853916
1e-05,1e-05,1e-05,1e-05,5,X38 X44 X45 X51,0.992977777778,0.00203970799002,0.992977777778,0.00203970799002
1e-05,1e-05,1e-05,1e-05,5,X4 X5 X11,0.993,0.00236675570498,0.993,0.00236675570498
1e-05,1e-05,1e-05,1e-05,5,X46 X52 X53 X59,0.994533333333,0.00210381882296,0.994533333333,0.00210381882296
1e-05,1e-05,1e-05,1e-05,5,X47 X53 X54 X60,0.994133333333,0.00229875861885,0.994133333333,0.00229875861885
1e-05,1e-05,1e-05,1e-05,5,X48 X54 X55 X61,0.994288888889,0.00210588180733,0.994288888889,0.00210588180733
1e-05,1e-05,1e-05,1e-05,5,X49 X55 X56 X62,0.994177777778,0.00177624454957,0.994177777778,0.00177624454957
1e-05,1e-05,1e-05,1e-05,5,X5 X6 X12,0.993133333333,0.00171671967333,0.993133333333,0.00171671967333
1e-05,1e-05,1e-05,1e-05,5,X50 X56 X57 X63,0.9942,0.00209469316693,0.9942,0.00209469316693
1e-05,1e-05,1e-05,1e-05,5,X51 X57 X58 X64,0.992244444444,0.00206769224337,0.992244444444,0.00206769224337
1e-05,1e-05,1e-05,1e-05,5,X59 X65 X66 X72,0.994133333333,0.00208919864011,0.994133333333,0.00208919864011
