g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.993377777778,0.00267202526735,0.993177777778,0.00232054514228
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0156444444444,0.0104470690433,-0.00197777777778,0.0224270521741
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0130222222222,0.01220104051,-0.00133333333333,0.0163318085143
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1 X11,0.994311111111,0.00210624565365,0.994311111111,0.00210624565365
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 X2 X12,0.9928,0.00288422848373,0.9928,0.00288422848373
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X100 X110 X111 X121,0.994133333333,0.00208919864011,0.994133333333,0.00208919864011
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X101 X111 X112 X122,0.994066666667,0.00178842596519,0.994066666667,0.00178842596519
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X102 X112 X113 X123,0.993911111111,0.00171299592664,0.993911111111,0.00171299592664
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X103 X113 X114 X124,0.994422222222,0.00199219421827,0.994422222222,0.00199219421827
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X104 X114 X115 X125,0.990066666667,0.0022030977842,0.990066666667,0.0022030977842
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 X21 X22 X32,0.994888888889,0.00205915083739,0.994888888889,0.00205915083739
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X116 X126 X127 X137,0.994022222222,0.00211894091476,0.994022222222,0.00211894091476
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X117 X127 X128 X138,0.993977777778,0.00263477093501,0.993977777778,0.00263477093501
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X118 X128 X129 X139,0.994355555556,0.00218481932994,0.994355555556,0.00218481932994
