g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.993466666667,0.00208919864011,0.994044444444,0.00201095340293
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0122888888889,0.0127200126911,0.00166666666667,0.0199652955605
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0116666666667,0.0101554960301,0.00157777777778,0.0177159220837
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1 X7,0.993555555556,0.00195217401816,0.993555555556,0.00195217401816
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 X2 X8,0.993577777778,0.00191372004049,0.993577777778,0.00191372004049
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 X16 X17 X23,0.994377777778,0.00197053648749,0.994377777778,0.00197053648749
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 X17 X18 X24,0.993955555556,0.00167865420767,0.993955555556,0.00167865420767
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X12 X18 X19 X25,0.992755555556,0.00200178719637,0.992755555556,0.00200178719637
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X2 X3 X9,0.993355555556,0.00170177579853,0.993355555556,0.00170177579853
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X20 X26 X27 X33,0.993777777778,0.00208135921795,0.993777777778,0.00208135921795
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X21 X27 X28 X34,0.993933333333,0.00211072793457,0.993933333333,0.00211072793457
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X22 X28 X29 X35,0.994288888889,0.001703575985,0.994288888889,0.001703575985
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X23 X29 X30 X36,0.9942,0.00197416260923,0.9942,0.00197416260923
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X24 X30 X31 X37,0.993755555556,0.00190569490013,0.993755555556,0.00190569490013
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X25 X31 X32 X38,0.993044444444,0.00246155626774,0.993044444444,0.00246155626774
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X3 X4 X10,0.993288888889,0.00160395424528,0.993288888889,0.00160395424528
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X33 X39 X40 X46,0.994066666667,0.00189655869034,0.994066666667,0.00189655869034
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X34 X40 X41 X47,0.994488888889,0.00202613826546,0.994488888889,0.00202613826546
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X35 X41 X42 X48,0.994377777778,0.00163001853017,0.994377777778,0.00163001853017
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X36 X42 X43 X49,0.994666666667,0.00175075243813,0.994666666667,0.00175075243813
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X37 X43 X44 X50,0.993977777778,0.00197674862371,0.993977777778,0.00197674862371
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X38 X44 X45 X51,0.993155555556,0.00224160132509,0.993155555556,0.00224160132509
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X4 X5 X11,0.992466666667,0.00217368447907,0.992466666667,0.00217368447907
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X46 X52 X53 X59,0.994377777778,0.0019782986098,0.994377777778,0.0019782986098
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X47 X53 X54 X60,0.994377777778,0.00215622298787,0.994377777778,0.00215622298787
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X48 X54 X55 X61,0.993933333333,0.00210345455687,0.993933333333,0.00210345455687
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X49 X55 X56 X62,0.995266666667,0.00168245396401,0.995266666667,0.00168245396401
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X5 X6 X12,0.9926,0.00231172258342,0.9926,0.00231172258342
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X50 X56 X57 X63,0.993777777778,0.00192847851277,0.993777777778,0.00192847851277
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X51 X57 X58 X64,0.993266666667,0.00202928747664,0.993266666667,0.00202928747664
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X59 X65 X66 X72,0.994,0.00186107536993,0.994,0.00186107536993
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X60 X66 X67 X73,0.994222222222,0.00217497669575,0.994222222222,0.00217497669575
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X61 X67 X68 X74,0.994888888889,0.00216083801917,0.994888888889,0.00216083801917
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X62 X68 X69 X75,0.994333333333,0.00186724129087,0.994333333333,0.00186724129087
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X63 X69 X70 X76,0.994311111111,0.00193165470791,0.994311111111,0.00193165470791
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X64 X70 X71 X77,0.992555555556,0.00238181702965,0.992555555556,0.00238181702965
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X7 X13 X14 X20,0.994377777778,0.00234681382332,0.994377777778,0.00234681382332
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X72 X78 X79,0.994,0.00222834405812,0.994,0.00222834405812
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X73 X79 X80,0.994733333333,0.00170956291606,0.994733333333,0.00170956291606
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X74 X80 X81,0.994022222222,0.00257594729565,0.994022222222,0.00257594729565
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X75 X81 X82,0.994377777778,0.00216331895809,0.994377777778,0.00216331895809
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X76 X82 X83,0.994311111111,0.00214946011814,0.994311111111,0.00214946011814
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X77 X83 X84,0.9924,0.0020536855945,0.9924,0.0020536855945
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X8 X14 X15 X21,0.9938,0.00183745617927,0.9938,0.00183745617927
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X9 X15 X16 X22,0.994422222222,0.00184854366067,0.994422222222,0.00184854366067
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z0 Z7 Z13,0.986288888889,0.00260670125699,0.986288888889,0.00260670125699
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z1 Z7 Z8 Z14,0.984,0.00356225422625,0.984,0.00356225422625
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z13 Z20 Z26,0.986733333333,0.00377265823943,0.986733333333,0.00377265823943
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z14 Z20 Z21 Z27,0.983777777778,0.00237698629718,0.983777777778,0.00237698629718
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z15 Z21 Z22 Z28,0.983911111111,0.00312563658906,0.983911111111,0.00312563658906
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z16 Z22 Z23 Z29,0.985022222222,0.00334358576571,0.985022222222,0.00334358576571
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z17 Z23 Z24 Z30,0.983555555556,0.00361492577767,0.983555555556,0.00361492577767
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z18 Z24 Z25 Z31,0.9842,0.00361414844265,0.9842,0.00361414844265
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z19 Z25 Z32,0.986711111111,0.00331689432977,0.986711111111,0.00331689432977
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z2 Z8 Z9 Z15,0.984133333333,0.0038293082316,0.984133333333,0.0038293082316
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z26 Z33 Z39,0.986733333333,0.00228505053307,0.986733333333,0.00228505053307
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z27 Z33 Z34 Z40,0.985288888889,0.00357913636422,0.985288888889,0.00357913636422
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z28 Z34 Z35 Z41,0.983755555556,0.00275421423293,0.983755555556,0.00275421423293
