g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.993,0.00162121944549,0.993777777778,0.00194430760329
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0178666666667,0.0137524919372,-0.000822222222222,0.0123879602078
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0172,0.0122482620552,-0.000444444444444,0.0187913188837
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.994555555556,0.00179469916226,0.994555555556,0.00179469916226
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.982711111111,0.003999744564,0.982711111111,0.003999744564
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.9826,0.00361075447694,0.9826,0.00361075447694
1e-05,1e-05,1e-05,1e-05,1,X100 Z110 Y111 Y121 Z122 X132,0.983111111111,0.00271977761844,0.983111111111,0.00271977761844
1e-05,1e-05,1e-05,1e-05,1,X101 Z111 Y112 Y122 Z123 X133,0.982022222222,0.00359003872308,0.982022222222,0.00359003872308
1e-05,1e-05,1e-05,1e-05,1,X102 Z112 Y113 Y123 Z124 X134,0.983533333333,0.00319074331651,0.983533333333,0.00319074331651
1e-05,1e-05,1e-05,1e-05,1,X103 Z113 Y114 Y124 Z125 X135,0.982733333333,0.00312375645756,0.982733333333,0.00312375645756
1e-05,1e-05,1e-05,1e-05,1,X104 Z114 Y115 Y125 Z126 X136,0.982911111111,0.00360707407703,0.982911111111,0.00360707407703
1e-05,1e-05,1e-05,1e-05,1,X105 Z115 Y116 Y126 Z127 X137,0.982288888889,0.00393698771729,0.982288888889,0.00393698771729
1e-05,1e-05,1e-05,1e-05,1,X106 Z116 Y117 Y127 Z128 X138,0.983266666667,0.00371535077989,0.983266666667,0.00371535077989
1e-05,1e-05,1e-05,1e-05,1,X107 Z117 Y118 Y128 Z129 X139,0.983333333333,0.00299680545112,0.983333333333,0.00299680545112
1e-05,1e-05,1e-05,1e-05,1,X108 Z118 Y119 Y129 Z130 X140,0.983111111111,0.00281394084705,0.983111111111,0.00281394084705
1e-05,1e-05,1e-05,1e-05,1,X109 Z119 Y120 Y130 Z131 X141,0.982266666667,0.00345568552564,0.982266666667,0.00345568552564
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.983644444444,0.00359110580023,0.983644444444,0.00359110580023
1e-05,1e-05,1e-05,1e-05,1,X110 X121,0.994222222222,0.00267431852362,0.994222222222,0.00267431852362
1e-05,1e-05,1e-05,1e-05,1,X111 X122,0.994555555556,0.00155692331767,0.994555555556,0.00155692331767
1e-05,1e-05,1e-05,1e-05,1,X112 X123,0.994755555556,0.00227418181714,0.994755555556,0.00227418181714
1e-05,1e-05,1e-05,1e-05,1,X113 X124,0.994688888889,0.00175497832307,0.994688888889,0.00175497832307
1e-05,1e-05,1e-05,1e-05,1,X114 X125,0.994733333333,0.0022030977842,0.994733333333,0.0022030977842
1e-05,1e-05,1e-05,1e-05,1,X115 X126,0.994466666667,0.0018623101873,0.994466666667,0.0018623101873
