g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999933333333,0.000203419051086,0.999977777778,0.00012171612389
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0176222222222,0.0119124305897,0.00222222222222,0.0191971687993
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0151333333333,0.0107484650958,-0.00275555555556,0.0211157970198
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999866666667,0.000271225401448,0.999866666667,0.000271225401448
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.999733333333,0.0004826491392,0.999733333333,0.0004826491392
1e-05,1e-05,1e-05,1e-05,1,X10 Z12 Y13 Y14 Z15 X16,0.999822222222,0.000347220306508,0.999822222222,0.000347220306508
1e-05,1e-05,1e-05,1e-05,1,X12 X14,0.999933333333,0.000203419051086,0.999933333333,0.000203419051086
1e-05,1e-05,1e-05,1e-05,1,X13 X15,0.999911111111,0.000230497269095,0.999911111111,0.000230497269095
1e-05,1e-05,1e-05,1e-05,1,X15 Z16 Y17,0.999888888889,0.00025269934786,0.999888888889,0.00025269934786
1e-05,1e-05,1e-05,1e-05,1,X16 X17,0.999933333333,0.000268385266624,0.999933333333,0.000268385266624
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.999844444444,0.000336004621996,0.999844444444,0.000336004621996
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.999955555556,0.000169138754468,0.999955555556,0.000169138754468
1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X12,0.999933333333,0.000268385266624,0.999933333333,0.000268385266624
1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X13,0.999688888889,0.000419206816553,0.999688888889,0.000419206816553
1e-05,1e-05,1e-05,1e-05,1,X6 X9,0.999955555556,0.000169138754468,0.999955555556,0.000169138754468
1e-05,1e-05,1e-05,1e-05,1,X7 X10,0.999911111111,0.000230497269095,0.999911111111,0.000230497269095
1e-05,1e-05,1e-05,1e-05,1,X8 X11,0.999911111111,0.000230497269095,0.999911111111,0.000230497269095
