g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999511111111,0.000523276835177,0.999622222222,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0163777777778,0.0110028673843,0.0012,0.0180797721479
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0153777777778,0.00858928020005,-0.000133333333333,0.0164444030237
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999777777778,0.000440596368168,0.999777777778,0.000440596368168
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.9996,0.000414303644177,0.9996,0.000414303644177
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.9996,0.00057000369697,0.9996,0.00057000369697
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999133333333,0.000634874108859,0.999133333333,0.000634874108859
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.999622222222,0.000417374877053,0.999622222222,0.000417374877053
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.999733333333,0.000375494565317,0.999733333333,0.000375494565317
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.999711111111,0.00045260703595,0.999711111111,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.999688888889,0.000380897642482,0.999688888889,0.000380897642482
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X30,0.999333333333,0.000606478434863,0.999333333333,0.000606478434863
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X31,0.999733333333,0.000449776445109,0.999733333333,0.000449776445109
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X32,0.999466666667,0.000564600696387,0.999466666667,0.000564600696387
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X33,0.999466666667,0.000507416263405,0.999466666667,0.000507416263405
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.999577777778,0.000618571666639,0.999577777778,0.000618571666639
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.9996,0.0004826491392,0.9996,0.0004826491392
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.999844444444,0.000286788711435,0.999844444444,0.000286788711435
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.999644444444,0.000517386101508,0.999644444444,0.000517386101508
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.999622222222,0.000544800102771,0.999622222222,0.000544800102771
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.999733333333,0.000375494565317,0.999733333333,0.000375494565317
1e-05,1e-05,1e-05,1e-05,1,X25 Y30 Z34,0.999755555556,0.000370702277845,0.999755555556,0.000370702277845
