g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999711111111,0.00045260703595,0.999488888889,0.000693336280571
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0153333333333,0.0113367134919,-0.00497777777778,0.0182848750035
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.016,0.0127924786331,0.000888888888889,0.019038443329
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999622222222,0.00045260703595,0.999622222222,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.999355555556,0.000618571666639,0.999355555556,0.000618571666639
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.999333333333,0.000631242768632,0.999333333333,0.000631242768632
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999177777778,0.000544800102771,0.999177777778,0.000544800102771
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.999711111111,0.00045260703595,0.999711111111,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.999466666667,0.000709000699814,0.999466666667,0.000709000699814
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.999466666667,0.000536770533249,0.999466666667,0.000536770533249
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.999688888889,0.000573577422869,0.999688888889,0.000573577422869
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X31,0.999577777778,0.000566858205177,0.999577777778,0.000566858205177
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X32,0.9994,0.000535341048598,0.9994,0.000535341048598
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X33,0.9994,0.000685928629153,0.9994,0.000685928629153
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X34,0.999244444444,0.000672009243992,0.999244444444,0.000672009243992
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.999133333333,0.000877998420302,0.999133333333,0.000877998420302
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.999822222222,0.000299850963406,0.999822222222,0.000299850963406
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.999733333333,0.000375494565317,0.999733333333,0.000375494565317
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.999755555556,0.000370702277845,0.999755555556,0.000370702277845
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.9998,0.000356655387081,0.9998,0.000356655387081
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.999444444444,0.000527651729251,0.999444444444,0.000527651729251
1e-05,1e-05,1e-05,1e-05,1,X25 Z30 Y31 Y36 Z37 X43,0.999355555556,0.000593278657776,0.999355555556,0.000593278657776
1e-05,1e-05,1e-05,1e-05,1,X26 Z31 Y32 Y37 Z38 X44,0.999355555556,0.000593278657776,0.999355555556,0.000593278657776
1e-05,1e-05,1e-05,1e-05,1,X27 Z32 Y33 Y38 Z39 X45,0.999533333333,0.000499808392405,0.999533333333,0.000499808392405
1e-05,1e-05,1e-05,1e-05,1,X28 Z33 Y34 Y39 Z40 X46,0.999422222222,0.000672009243992,0.999422222222,0.000672009243992
1e-05,1e-05,1e-05,1e-05,1,X29 Z34 Y35 Y40 Z41 X47,0.999555555556,0.000474106001479,0.999555555556,0.000474106001479
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.999755555556,0.000409965266572,0.999755555556,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X30 X36,0.999555555556,0.000534863704724,0.999555555556,0.000534863704724
