g1_z,IZ,ZI,ZZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999044444444,0.000887259042173
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0143555555556,0.00849743406541
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0167777777778,0.0127661949834
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999622222222,0.000515902908485
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.999,0.000758098043579
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.999088888889,0.000732043449359
1e-05,1e-05,1e-05,1e-05,1,X100 Z107 Y108 Y114 Z115 X121,0.999488888889,0.000515902908485
1e-05,1e-05,1e-05,1e-05,1,X101 Z108 Y109 Y115 Z116 X122,0.999466666667,0.000640880620201
1e-05,1e-05,1e-05,1e-05,1,X102 Z109 Y110 Y116 Z117 X123,0.999444444444,0.000555938565291
1e-05,1e-05,1e-05,1e-05,1,X103 Z110 Y111 Y117 Z118 X124,0.999533333333,0.000584604526246
1e-05,1e-05,1e-05,1e-05,1,X104 Z111 Y112 Y118 Z119 X125,0.999488888889,0.000572239891108
1e-05,1e-05,1e-05,1e-05,1,X105 Z112 Y119,0.999711111111,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X106 X113,0.999755555556,0.000509926997505
1e-05,1e-05,1e-05,1e-05,1,X107 X114,0.9996,0.000596284794
1e-05,1e-05,1e-05,1e-05,1,X108 X115,0.999666666667,0.000517879555222
1e-05,1e-05,1e-05,1e-05,1,X109 X116,0.9994,0.000535341048598
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999,0.000853211198156
1e-05,1e-05,1e-05,1e-05,1,X110 X117,0.999777777778,0.000364448182394
1e-05,1e-05,1e-05,1e-05,1,X111 X118,0.999666666667,0.000454858826147
1e-05,1e-05,1e-05,1e-05,1,X112 X119,0.999533333333,0.000557773351023
1e-05,1e-05,1e-05,1e-05,1,X113 Y120 Z126,0.999822222222,0.000347220306508
1e-05,1e-05,1e-05,1e-05,1,X114 Z120 Y121 Y126 Z127 X132,0.999311111111,0.000732043449359
1e-05,1e-05,1e-05,1e-05,1,X115 Z121 Y122 Y127 Z128 X133,0.999333333333,0.000631242768632
1e-05,1e-05,1e-05,1e-05,1,X116 Z122 Y123 Y128 Z129 X134,0.999177777778,0.000815244284821
1e-05,1e-05,1e-05,1e-05,1,X117 Z123 Y124 Y129 Z130 X135,0.999266666667,0.00061525934475
1e-05,1e-05,1e-05,1e-05,1,X118 Z124 Y125 Y130 Z131 X136,0.999466666667,0.000564600696387
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.999577777778,0.000478930268189
1e-05,1e-05,1e-05,1e-05,1,X120 X126,0.9998,0.000468142166572
