g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999088888889,0.000642870319555,0.999288888889,0.000874208271621
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0147111111111,0.0101693451657,0.00595555555556,0.0194978598557
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0147333333333,0.00872104953436,-0.00126666666667,0.0208032932848
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999688888889,0.000380897642482,0.999688888889,0.000380897642482
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.999022222222,0.000797185342306,0.999022222222,0.000797185342306
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.999111111111,0.000639284401981,0.999111111111,0.000639284401981
1e-05,1e-05,1e-05,1e-05,1,X100 Z107 Y108 Y114 Z115 X121,0.999466666667,0.00066436383883,0.999466666667,0.00066436383883
1e-05,1e-05,1e-05,1e-05,1,X101 Z108 Y109 Y115 Z116 X122,0.999577777778,0.000566858205177,0.999577777778,0.000566858205177
1e-05,1e-05,1e-05,1e-05,1,X102 Z109 Y110 Y116 Z117 X123,0.999355555556,0.000618571666639,0.999355555556,0.000618571666639
1e-05,1e-05,1e-05,1e-05,1,X103 Z110 Y111 Y117 Z118 X124,0.999466666667,0.000507416263405,0.999466666667,0.000507416263405
1e-05,1e-05,1e-05,1e-05,1,X104 Z111 Y112 Y118 Z119 X125,0.999644444444,0.00048686449556,0.999644444444,0.00048686449556
1e-05,1e-05,1e-05,1e-05,1,X105 Z112 Y119,0.999755555556,0.000326755011902,0.999755555556,0.000326755011902
1e-05,1e-05,1e-05,1e-05,1,X106 X113,0.999555555556,0.000562788169409,0.999555555556,0.000562788169409
1e-05,1e-05,1e-05,1e-05,1,X107 X114,0.999733333333,0.000449776445109,0.999733333333,0.000449776445109
1e-05,1e-05,1e-05,1e-05,1,X108 X115,0.999755555556,0.000409965266572,0.999755555556,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1,X109 X116,0.999466666667,0.000616503550965,0.999466666667,0.000616503550965
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.998955555556,0.000715098971439,0.998955555556,0.000715098971439
1e-05,1e-05,1e-05,1e-05,1,X110 X117,0.999711111111,0.00045260703595,0.999711111111,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X111 X118,0.999666666667,0.00033903175181,0.999666666667,0.00033903175181
1e-05,1e-05,1e-05,1e-05,1,X112 X119,0.999555555556,0.000639284401981,0.999555555556,0.000639284401981
1e-05,1e-05,1e-05,1e-05,1,X113 Y120 Z126,0.999688888889,0.000338277508937,0.999688888889,0.000338277508937
1e-05,1e-05,1e-05,1e-05,1,X114 Z120 Y121 Y126 Z127 X132,0.9996,0.0004826491392,0.9996,0.0004826491392
1e-05,1e-05,1e-05,1e-05,1,X115 Z121 Y122 Y127 Z128 X133,0.999066666667,0.000999616784811,0.999066666667,0.000999616784811
1e-05,1e-05,1e-05,1e-05,1,X116 Z122 Y123 Y128 Z129 X134,0.999444444444,0.000633262750655,0.999444444444,0.000633262750655
1e-05,1e-05,1e-05,1e-05,1,X117 Z123 Y124 Y129 Z130 X135,0.999088888889,0.000883797680309,0.999088888889,0.000883797680309
1e-05,1e-05,1e-05,1e-05,1,X118 Z124 Y125 Y130 Z131 X136,0.999577777778,0.000642870319555,0.999577777778,0.000642870319555
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.999288888889,0.000676555017873,0.999288888889,0.000676555017873
1e-05,1e-05,1e-05,1e-05,1,X120 X126,0.999866666667,0.000271225401448,0.999866666667,0.000271225401448
1e-05,1e-05,1e-05,1e-05,1,X121 X127,0.9996,0.000596284794,0.9996,0.000596284794
1e-05,1e-05,1e-05,1e-05,1,X122 X128,0.999577777778,0.000618571666639,0.999577777778,0.000618571666639
1e-05,1e-05,1e-05,1e-05,1,X123 X129,0.999622222222,0.000515902908485,0.999622222222,0.000515902908485
1e-05,1e-05,1e-05,1e-05,1,X124 X130,0.999711111111,0.00045260703595,0.999711111111,0.00045260703595
1e-05,1e-05,1e-05,1e-05,1,X125 X131,0.999688888889,0.000419206816553,0.999688888889,0.000419206816553
1e-05,1e-05,1e-05,1e-05,1,X127 Z132 Y133 Y137 Z138 X142,0.9996,0.000542450802897,0.9996,0.000542450802897
