g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.999044444444,0.00067086798773,0.998555555556,0.00060858061945
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0197333333333,0.0148035410489,0.00433333333333,0.019181528471
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0112,0.00846973426191,0.004,0.0117639621131
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.999777777778,0.000364448182394,0.999777777778,0.000364448182394
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.999177777778,0.000796223525737,0.999177777778,0.000796223525737
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.998844444444,0.00109240966497,0.998844444444,0.00109240966497
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X100 Z110 Y111 Y121 Z122 X132,0.999088888889,0.000752687818917,0.999088888889,0.000752687818917
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X101 Z111 Y112 Y122 Z123 X133,0.999266666667,0.000685928629153,0.999266666667,0.000685928629153
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X102 Z112 Y113 Y123 Z124 X134,0.999555555556,0.000534863704724,0.999555555556,0.000534863704724
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X103 Z113 Y114 Y124 Z125 X135,0.999333333333,0.000606478434863,0.999333333333,0.000606478434863
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X104 Z114 Y115 Y125 Z126 X136,0.999311111111,0.00071079974026,0.999311111111,0.00071079974026
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X105 Z115 Y116 Y126 Z127 X137,0.9992,0.000790751134253,0.9992,0.000790751134253
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X106 Z116 Y117 Y127 Z128 X138,0.998977777778,0.000777723041314,0.998977777778,0.000777723041314
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X107 Z117 Y118 Y128 Z129 X139,0.999244444444,0.000694440613016,0.999244444444,0.000694440613016
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X108 Z118 Y119 Y129 Z130 X140,0.998711111111,0.000891566847279,0.998711111111,0.000891566847279
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X109 Z119 Y120 Y130 Z131 X141,0.998644444444,0.000934372710811,0.998644444444,0.000934372710811
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.999133333333,0.00072503137731,0.999133333333,0.00072503137731
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X110 X121,0.999088888889,0.00090097152048,0.999088888889,0.00090097152048
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X111 X122,0.999733333333,0.000414303644177,0.999733333333,0.000414303644177
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X112 X123,0.999755555556,0.000409965266572,0.999755555556,0.000409965266572
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X113 X124,0.999688888889,0.000517386101508,0.999688888889,0.000517386101508
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X114 X125,0.999688888889,0.000419206816553,0.999688888889,0.000419206816553
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X115 X126,0.999622222222,0.000693336280571,0.999622222222,0.000693336280571
