g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.993533333333,0.00166229311218,0.993444444444,0.00231657914882
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0158,0.0112091232683,-0.00175555555556,0.0209977071059
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0175333333333,0.0111762611038,0.00233333333333,0.0157117229338
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.993977777778,0.00244155175413,0.993977777778,0.00244155175413
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.982622222222,0.00336733614981,0.982622222222,0.00336733614981
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.983377777778,0.00295526458395,0.983377777778,0.00295526458395
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X100 Z110 Y111 Y121 Z122 X132,0.984577777778,0.00360813611612,0.984577777778,0.00360813611612
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X101 Z111 Y112 Y122 Z123 X133,0.984355555556,0.00298005288509,0.984355555556,0.00298005288509
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X102 Z112 Y113 Y123 Z124 X134,0.982822222222,0.00319330397766,0.982822222222,0.00319330397766
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X103 Z113 Y114 Y124 Z125 X135,0.983355555556,0.00372414029611,0.983355555556,0.00372414029611
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X104 Z114 Y115 Y125 Z126 X136,0.983133333333,0.00309318866091,0.983133333333,0.00309318866091
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X105 Z115 Y116 Y126 Z127 X137,0.9834,0.00380501786061,0.9834,0.00380501786061
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X106 Z116 Y117 Y127 Z128 X138,0.983644444444,0.0039836190763,0.983644444444,0.0039836190763
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X107 Z117 Y118 Y128 Z129 X139,0.983666666667,0.00295949669533,0.983666666667,0.00295949669533
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X108 Z118 Y119 Y129 Z130 X140,0.9832,0.00350325519123,0.9832,0.00350325519123
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X109 Z119 Y120 Y130 Z131 X141,0.983644444444,0.00320790849056,0.983644444444,0.00320790849056
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.984755555556,0.00373338806747,0.984755555556,0.00373338806747
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X110 X121,0.994333333333,0.00194758913744,0.994333333333,0.00194758913744
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X111 X122,0.993911111111,0.00168594217627,0.993911111111,0.00168594217627
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X112 X123,0.994155555556,0.00212760245569,0.994155555556,0.00212760245569
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X113 X124,0.993866666667,0.0021824798718,0.993866666667,0.0021824798718
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X114 X125,0.994622222222,0.00228895956443,0.994622222222,0.00228895956443
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X115 X126,0.994488888889,0.00244437478131,0.994488888889,0.00244437478131
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X116 X127,0.994311111111,0.00172191939001,0.994311111111,0.00172191939001
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X117 X128,0.994622222222,0.00221408471759,0.994622222222,0.00221408471759
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X118 X129,0.994533333333,0.00185612788567,0.994533333333,0.00185612788567
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X119 X130,0.994355555556,0.00228091084403,0.994355555556,0.00228091084403
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.994488888889,0.00166029433141,0.994488888889,0.00166029433141
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X120 X131,0.995,0.00183411686496,0.995,0.00183411686496
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X121 Y132 Z142,0.989355555556,0.00246031075091,0.989355555556,0.00246031075091
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X122 Z132 Y133 Y142 Z143 X152,0.984444444444,0.0033048592267,0.984444444444,0.0033048592267
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X123 Z133 Y134 Y143 Z144 X153,0.983888888889,0.00342666279052,0.983888888889,0.00342666279052
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X124 Z134 Y135 Y144 Z145 X154,0.983755555556,0.0038416285393,0.983755555556,0.0038416285393
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X125 Z135 Y136 Y145 Z146 X155,0.983288888889,0.00344828607917,0.983288888889,0.00344828607917
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X126 Z136 Y137 Y146 Z147 X156,0.983977777778,0.00303987967766,0.983977777778,0.00303987967766
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X127 Z137 Y138 Y147 Z148 X157,0.984377777778,0.00259491594492,0.984377777778,0.00259491594492
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X128 Z138 Y139 Y148 Z149 X158,0.983222222222,0.00339521111169,0.983222222222,0.00339521111169
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X129 Z139 Y140 Y149 Z150 X159,0.982577777778,0.00301075127567,0.982577777778,0.00301075127567
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.994244444444,0.00237149957139,0.994244444444,0.00237149957139
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X130 Z140 Y141 Y150 Z151 X160,0.982755555556,0.00341613630123,0.982755555556,0.00341613630123
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X132 X142,0.9944,0.00151214749225,0.9944,0.00151214749225
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X133 X143,0.995266666667,0.00171850420569,0.995266666667,0.00171850420569
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X134 X144,0.994444444444,0.00209603408277,0.994444444444,0.00209603408277
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X135 X145,0.994555555556,0.00159581188775,0.994555555556,0.00159581188775
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X136 X146,0.994422222222,0.00188141410364,0.994422222222,0.00188141410364
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X137 X147,0.994266666667,0.00199309151649,0.994266666667,0.00199309151649
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X138 X148,0.994422222222,0.00181507804279,0.994422222222,0.00181507804279
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X139 X149,0.994066666667,0.00192861095867,0.994066666667,0.00192861095867
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.994333333333,0.00190783823824,0.994333333333,0.00190783823824
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X140 X150,0.994466666667,0.00195857482003,0.994466666667,0.00195857482003
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X141 X151,0.994222222222,0.00178828313677,0.994222222222,0.00178828313677
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X143 Z152 Y153 Y161 Z162 X170,0.984177777778,0.00393016951789,0.984177777778,0.00393016951789
