g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994133333333,0.00200688470194,0.994,0.00194955540663
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.00993333333333,0.0100181444585,-0.00793333333333,0.0144034372228
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0139777777778,0.0112164128964,0.00311111111111,0.0156448449966
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.994333333333,0.00218493623709,0.994333333333,0.00218493623709
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.984355555556,0.00356540780591,0.984355555556,0.00356540780591
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.9838,0.00350653467694,0.9838,0.00350653467694
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.983555555556,0.00329557154775,0.983555555556,0.00329557154775
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.993977777778,0.00192171166785,0.993977777778,0.00192171166785
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.994177777778,0.00208577251845,0.994177777778,0.00208577251845
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.994155555556,0.00201666112535,0.994155555556,0.00201666112535
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.994444444444,0.00201399953455,0.994444444444,0.00201399953455
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X30,0.983711111111,0.00297464809514,0.983711111111,0.00297464809514
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X31,0.9844,0.00323581490266,0.9844,0.00323581490266
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X32,0.983955555556,0.00344383878002,0.983955555556,0.00344383878002
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X33,0.983844444444,0.00296432599555,0.983844444444,0.00296432599555
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.994222222222,0.00131403660887,0.994222222222,0.00131403660887
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.994288888889,0.00208393477908,0.994288888889,0.00208393477908
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.994533333333,0.001888866351,0.994533333333,0.001888866351
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.994844444444,0.00224160132509,0.994844444444,0.00224160132509
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.994244444444,0.00223166575817,0.994244444444,0.00223166575817
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.9942,0.00213814113416,0.9942,0.00213814113416
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X25 Y30 Z34,0.989066666667,0.00326880061663,0.989066666667,0.00326880061663
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X26 Z30 Y31 Y34 Z35 X38,0.982977777778,0.00312563658906,0.982977777778,0.00312563658906
