CodeFamily,Category,Label,Operator,Toggle
surface,Stabilizer,S_0,X0 X1 X3,Z1 Z4 Z9 Z12
surface,Stabilizer,S_1,X1 X2 X4,Z4 Z9 Z12
surface,Stabilizer,S_2,X3 X5 X6 X8,Z1 Z3 Z4 Z9 Z12
surface,Stabilizer,S_3,X4 X6 X7 X9,Z9 Z12
surface,Stabilizer,S_4,X8 X10 X11,Z1 Z3 Z4 Z8 Z9 Z12
surface,Stabilizer,S_5,X9 X11 X12,Z12
surface,Stabilizer,S_6,Z0 Z3 Z5,X5 X10
surface,Stabilizer,S_7,Z1 Z3 Z4 Z6,X6 X11
surface,Stabilizer,S_8,Z2 Z4 Z7,X2
surface,Stabilizer,S_9,Z5 Z8 Z10,X10
surface,Stabilizer,S_10,Z6 Z8 Z9 Z11,X11
surface,Stabilizer,S_11,Z7 Z9 Z12,X2 X7
surface,Logical,Logical X,X0 X5 X10,Z0 Z1 Z4 Z9 Z12
surface,Logical,Logical Y,Y0 Z1 Z2 X5 X10,-
surface,Logical,Logical Z,Z0 Z1 Z2,-
