CodeFamily,Category,Label,Operator,Toggle
xyz2,Stabilizer,S_0,X0 X1,Y0
xyz2,Stabilizer,S_1,X3 X5,X2 Z3
xyz2,Stabilizer,S_2,X8 X11,X2 X5 Y8
xyz2,Stabilizer,S_3,X15 X19,X12 X13 X14 Z15
xyz2,Stabilizer,S_4,X24 X29,X12 X13 X14 X19 Y24
xyz2,Stabilizer,S_5,X35 X41,X30 X31 X32 X33 X34 Z35
xyz2,Stabilizer,S_6,X48 X55,X30 X31 X32 X33 X34 X41 Y48
xyz2,Stabilizer,S_7,X63 X71,X56 X57 X58 X59 X60 X61 X62 Z63
xyz2,Stabilizer,S_8,X80 X89,X56 X57 X58 X59 X60 X61 X62 X71 Y80
xyz2,Stabilizer,S_9,X99 X109,X90 X91 X92 X93 X94 X95 X96 X97 X98 Z99
xyz2,Stabilizer,S_10,X120 X131,X90 X91 X92 X93 X94 X95 X96 X97 X98 X109 Y120
xyz2,Stabilizer,S_11,X2 X4,Y4 X7 X11
xyz2,Stabilizer,S_12,X7 X10,X4 Y7 X11
xyz2,Stabilizer,S_13,X14 X18,X12 X13 Y18 X23 X29
xyz2,Stabilizer,S_14,X23 X28,X12 X13 X18 Y23 X29
xyz2,Stabilizer,S_15,X34 X40,X30 X31 X32 X33 Y40 X47 X55
xyz2,Stabilizer,S_16,X47 X54,X30 X31 X32 X33 X40 Y47 X55
xyz2,Stabilizer,S_17,X62 X70,X56 X57 X58 X59 X60 X61 Y70 X79 X89
xyz2,Stabilizer,S_18,X79 X88,X56 X57 X58 X59 X60 X61 X70 Y79 X89
xyz2,Stabilizer,S_19,X98 X108,X90 X91 X92 X93 X94 X95 X96 X97 Y108 X119 X131
xyz2,Stabilizer,S_20,X119 X130,X90 X91 X92 X93 X94 X95 X96 X97 X108 Y119 X131
xyz2,Stabilizer,S_21,X141 X151,X131 Y141
xyz2,Stabilizer,S_22,X6 X9,Y6 X10 X11
xyz2,Stabilizer,S_23,X13 X17,X12 Y17 X22 X28 X29
xyz2,Stabilizer,S_24,X22 X27,X12 X17 Y22 X28 X29
xyz2,Stabilizer,S_25,X33 X39,X30 X31 X32 Y39 X46 X54 X55
xyz2,Stabilizer,S_26,X46 X53,X30 X31 X32 X39 Y46 X54 X55
xyz2,Stabilizer,S_27,X61 X69,X56 X57 X58 X59 X60 Y69 X78 X88 X89
xyz2,Stabilizer,S_28,X78 X87,X56 X57 X58 X59 X60 X69 Y78 X88 X89
xyz2,Stabilizer,S_29,X97 X107,X90 X91 X92 X93 X94 X95 X96 Y107 X118 X130 X131
xyz2,Stabilizer,S_30,X118 X129,X90 X91 X92 X93 X94 X95 X96 X107 Y118 X130 X131
xyz2,Stabilizer,S_31,X140 X150,X130 X131 Y140 X151
xyz2,Stabilizer,S_32,X160 X169,X130 X131 Y140 Z150 Y169
xyz2,Stabilizer,S_33,X12 X16,Y16 X21 X27 X28 X29
xyz2,Stabilizer,S_34,X21 X26,X16 Y21 X27 X28 X29
xyz2,Stabilizer,S_35,X32 X38,X30 X31 Y38 X45 X53 X54 X55
xyz2,Stabilizer,S_36,X45 X52,X30 X31 X38 Y45 X53 X54 X55
xyz2,Stabilizer,S_37,X60 X68,X56 X57 X58 X59 Y68 X77 X87 X88 X89
xyz2,Stabilizer,S_38,X77 X86,X56 X57 X58 X59 X68 Y77 X87 X88 X89
xyz2,Stabilizer,S_39,X96 X106,X90 X91 X92 X93 X94 X95 Y106 X117 X129 X130 X131
xyz2,Stabilizer,S_40,X117 X128,X90 X91 X92 X93 X94 X95 X106 Y117 X129 X130 X131
xyz2,Stabilizer,S_41,X139 X149,X129 X130 X131 Y139 X150 Y160 Z169
xyz2,Stabilizer,S_42,X159 X168,X129 X130 X131 Y139 Z149 Y168 X177
xyz2,Stabilizer,S_43,X177 X185,X129 X130 X131 Y139 Z149 X168 Y177
xyz2,Stabilizer,S_44,X20 X25,Y20 X26 X27 X28 X29
xyz2,Stabilizer,S_45,X31 X37,X30 Y37 X44 X52 X53 X54 X55
xyz2,Stabilizer,S_46,X44 X51,X30 X37 Y44 X52 X53 X54 X55
xyz2,Stabilizer,S_47,X59 X67,X56 X57 X58 Y67 X76 X86 X87 X88 X89
xyz2,Stabilizer,S_48,X76 X85,X56 X57 X58 X67 Y76 X86 X87 X88 X89
xyz2,Stabilizer,S_49,X95 X105,X90 X91 X92 X93 X94 Y105 X116 X128 X129 X130 X131
xyz2,Stabilizer,S_50,X116 X127,X90 X91 X92 X93 X94 X105 Y116 X128 X129 X130 X131
xyz2,Stabilizer,S_51,X138 X148,X128 X129 X130 X131 Y138 X149 Y159 Z168 X185
xyz2,Stabilizer,S_52,X158 X167,X152 X153 X154 X155 X156 X157 Y167 X176 X185
xyz2,Stabilizer,S_53,X176 X184,Z184 X185 X186 X187 X188 X189 X190 X191
xyz2,Stabilizer,S_54,X192 X199,X186 X187 X188 X189 X190 X191 Y199
xyz2,Stabilizer,S_55,X30 X36,Y36 X43 X51 X52 X53 X54 X55
xyz2,Stabilizer,S_56,X43 X50,X36 Y43 X51 X52 X53 X54 X55
xyz2,Stabilizer,S_57,X58 X66,X56 X57 Y66 X75 X85 X86 X87 X88 X89
xyz2,Stabilizer,S_58,X75 X84,X56 X57 X66 Y75 X85 X86 X87 X88 X89
xyz2,Stabilizer,S_59,X94 X104,X90 X91 X92 X93 Y104 X110 X111 X112 X113 X114
xyz2,Stabilizer,S_60,X115 X126,X90 X91 X92 X93 X94 X110 X111 X112 X113 X114 Z115
xyz2,Stabilizer,S_61,X137 X147,Z147 X148 X149 X152 X153 X154 X155 X156 Y159 Z168 X185
xyz2,Stabilizer,S_62,X157 X166,X152 X153 X154 X155 X156 Y166 X175 X176 X185
xyz2,Stabilizer,S_63,X175 X183,X176 Z183 X185 X186 X187 X188 X189 X190
xyz2,Stabilizer,S_64,X191 X198,X186 X187 X188 X189 X190 Y198 X205
xyz2,Stabilizer,S_65,X205 X211,Z211 X212 X213 X214 X215 X216
xyz2,Stabilizer,S_66,X42 X49,Y42 X50 X51 X52 X53 X54 X55
xyz2,Stabilizer,S_67,X57 X65,X56 Y65 X74 X84 X85 X86 X87 X88 X89
xyz2,Stabilizer,S_68,X74 X83,X56 X65 Y74 X84 X85 X86 X87 X88 X89
xyz2,Stabilizer,S_69,X93 X103,X90 X91 X92 Y103 X110 X111 X112 X113
xyz2,Stabilizer,S_70,X114 X125,X90 X91 X92 X93 X94 X104 X110 X111 X112 X113 Z114 X115 X126
xyz2,Stabilizer,S_71,X136 X146,X137 Z146 X148 X149 X152 X153 X154 X155 Y159 Z168 X185
xyz2,Stabilizer,S_72,X156 X165,X152 X153 X154 X155 Y165 X174 X175 X176 X185
xyz2,Stabilizer,S_73,X174 X182,X175 X176 Z182 X185 X186 X187 X188 X189
xyz2,Stabilizer,S_74,X190 X197,X186 X187 X188 X189 Y197 X204 X205
xyz2,Stabilizer,S_75,X204 X210,X205 Z210 X212 X213 X214 X215
xyz2,Stabilizer,S_76,X216 X221,X212 X213 X214 X215 Y221
xyz2,Stabilizer,S_77,X56 X64,Y64 X73 X83 X84 X85 X86 X87 X88 X89
xyz2,Stabilizer,S_78,X73 X82,X64 Y73 X83 X84 X85 X86 X87 X88 X89
xyz2,Stabilizer,S_79,X92 X102,X90 X91 Y102 X110 X111 X112
xyz2,Stabilizer,S_80,X113 X124,X90 X91 X92 X93 X94 X110 X111 X112 Z115 Y124 Y126 X135 X136
xyz2,Stabilizer,S_81,X135 X145,X136 X137 Z145 X148 X149 X152 X153 X154 Y159 Z168 X185
xyz2,Stabilizer,S_82,X155 X164,X152 X153 X154 Y164 X173 X174 X175 X176 X185
xyz2,Stabilizer,S_83,X173 X181,X174 X175 X176 Z181 X185 X186 X187 X188
xyz2,Stabilizer,S_84,X189 X196,X186 X187 X188 Y196 X203 X204 X205
xyz2,Stabilizer,S_85,X203 X209,X204 X205 Z209 X212 X213 X214
xyz2,Stabilizer,S_86,X215 X220,X212 X213 X214 Y220 X225
xyz2,Stabilizer,S_87,X225 X229,Z229 X230 X231 X232
xyz2,Stabilizer,S_88,X72 X81,Y72 X82 X83 X84 X85 X86 X87 X88 X89
xyz2,Stabilizer,S_89,X91 X101,X90 Y101 X110 X111
xyz2,Stabilizer,S_90,X112 X123,X90 X91 X92 X93 X94 X110 X111 Z115 Y123 Y126 X134 X135 X136
xyz2,Stabilizer,S_91,X134 X144,X135 X136 X137 Z144 X148 X149 X152 X153 Y159 Z168 X185
xyz2,Stabilizer,S_92,X154 X163,X152 X153 Y163 X172 X173 X174 X175 X176 X185
xyz2,Stabilizer,S_93,X172 X180,X173 X174 X175 X176 Z180 X185 X186 X187
xyz2,Stabilizer,S_94,X188 X195,X186 X187 Y195 X202 X203 X204 X205
xyz2,Stabilizer,S_95,X202 X208,X203 X204 X205 Z208 X212 X213
xyz2,Stabilizer,S_96,X214 X219,X212 X213 Y219 X224 X225
xyz2,Stabilizer,S_97,X224 X228,X225 Z228 X230 X231
xyz2,Stabilizer,S_98,X232 X235,X230 X231 Y235
xyz2,Stabilizer,S_99,X90 X100,Y100 X110
xyz2,Stabilizer,S_100,X111 X122,X90 X91 X92 X93 X94 X110 Z115 Y122 Y126 X133 X134 X135 X136
xyz2,Stabilizer,S_101,X133 X143,X134 X135 X136 X137 Z143 X148 X149 X152 Y159 Z168 X185
xyz2,Stabilizer,S_102,X153 X162,X152 Y162 X171 X172 X173 X174 X175 X176 X185
xyz2,Stabilizer,S_103,X171 X179,X172 X173 X174 X175 X176 Z179 X185 X186
