Category,Label,Operator,Toggle
Stabilizer,S_0,X0 X1,Y0
Stabilizer,S_1,X3 X5,X2 Z3
Stabilizer,S_2,X8 X11,X2 X5 Y8
Stabilizer,S_3,X15 X19,X2 X5 Y8 Z11 Z15
Stabilizer,S_4,X24 X29,X2 X5 Y8 Z11 X19 Y24
Stabilizer,S_5,X35 X41,X4 X5 Y8 Z11 X19 Y24 Z29 Z35
Stabilizer,S_6,X48 X55,X2 X5 Y8 Z11 X19 Y24 Z29 X41 Y48
Stabilizer,S_7,X63 X71,X37 X38 X39 X40 X41 Y43 Y48 Z50 Z55 X56 X57 Z63
Stabilizer,S_8,X80 X89,X4 X5 Y8 Z11 X19 Y24 Z29 X41 Y48 Z55 X71 Y80
Stabilizer,S_9,X99 X109,X12 X13 X14 X19 Y24 Z29 X41 Y48 Z55 X71 Y80 Z89 Z99
Stabilizer,S_10,X120 X131,X17 X18 X19 Y21 Y24 Z26 Z29 X30 X31 X41 Y48 Z55 X71 Y80 Z89 X109 Y120
Stabilizer,S_11,X2 X4,X0 Z2
Stabilizer,S_12,X7 X10,X1 Z2 Z4 Z7
Stabilizer,S_13,X14 X18,X1 Z2 Z4 Z7 Z10 Z14
Stabilizer,S_14,X23 X28,X1 Z2 Z4 Z7 Z10 Z14 Z18 Z23
Stabilizer,S_15,X34 X40,X1 Z2 Z4 Z7 Z10 Z14 Z18 Z23 Z28 Z34
Stabilizer,S_16,X47 X54,X29 X31 X32 X33 Z34 X36 Z40 Z47
Stabilizer,S_17,X62 X70,X36 X37 X38 X39 X40 Y47 X48 Z54 Z62
Stabilizer,S_18,X79 X88,X8 X12 X13 Z14 Z18 Z23 Z28 Z34 Z40 Z47 Z54 Z62 Z70 Z79
Stabilizer,S_19,X98 X108,X11 X12 X13 Z14 Z18 Z23 Z28 Z34 Z40 Z47 Z54 Z62 Z70 Z79 Z88 Z98
Stabilizer,S_20,X119 X130,X17 X18 Y21 Y23 X24 Z26 Z28 X30 X31 Z34 Z40 Z47 Z54 Z62 Z70 Z79 Z88 Z98 Z108 Z119
Stabilizer,S_21,X141 X151,X120 Y141
Stabilizer,S_22,X6 X9,Y6 X7 X8
Stabilizer,S_23,X13 X17,X7 X8 X12 Z13
Stabilizer,S_24,X22 X27,X7 X8 X12 Z13 Z17 Z22
Stabilizer,S_25,X33 X39,X7 X11 X12 Z13 Z17 Z22 Z27 Z33
Stabilizer,S_26,X46 X53,X7 X11 X12 Z13 Z17 Z22 Z27 Z33 Z39 Z46
Stabilizer,S_27,X61 X69,X7 X11 X12 Z13 Z17 Z22 Z27 Z33 Z39 Z46 Z53 Z61
Stabilizer,S_28,X78 X87,X7 X8 X12 Z13 Z17 Z22 Z27 Z33 Z39 Z46 Z53 Z61 Z69 Z78
Stabilizer,S_29,X97 X107,X16 X17 Y22 X23 Z27 X29 Z33 Z39 Z46 Z53 Z61 Z69 Z78 Z87 Z97
Stabilizer,S_30,X118 X129,X81 X82 X83 X84 X85 X86 X87 Z90 X91 X92 X93 X94 X95 X96 Z97 Z100 Z107 X110 Z118
Stabilizer,S_31,X140 X150,X108 X109 Y118 X119 Z120 Z129 Z131 Z140
Stabilizer,S_32,X160 X169,X120 X130 Y140 X141 Z150 Z160
Stabilizer,S_33,X12 X16,X6 X7 X8 Z12
Stabilizer,S_34,X21 X26,X1 Y2 Z4 X6 Z12 Z16 Z21
Stabilizer,S_35,X32 X38,X9 X10 X11 Z12 Z16 Z21 Z26 Z32
Stabilizer,S_36,X45 X52,X6 X7 X11 Z12 Z16 Z21 Z26 Z32 Z38 Z45
Stabilizer,S_37,X60 X68,X6 X7 X11 Z12 Z16 Z21 Z26 Z32 Z38 Z45 Z52 Z60
Stabilizer,S_38,X77 X86,X7 X8 X9 Z12 Z16 Z21 Z26 Z32 Z38 Z45 Z52 Z60 Z68 Z77
Stabilizer,S_39,X96 X106,X6 X7 X8 Z12 Z16 Z21 Z26 Z32 Z38 Z45 Z52 Z60 Z68 Z77 Z86 Z96
Stabilizer,S_40,X117 X128,X81 X82 X83 X84 X85 X86 Z90 X91 X92 X93 X94 X95 Z96 Z100 Z106 X110 Z117
Stabilizer,S_41,X139 X149,X98 X107 X109 Y117 X118 X119 Z120 Z128 Z131 Z139
Stabilizer,S_42,X159 X168,X98 Y99 X107 Z109 Y117 X118 Z119 Z128 Z130 Z139 X141 Z149 Z159
Stabilizer,S_43,X177 X185,X120 X129 X130 Y139 X140 X141 Z149 Z159 Z168 Z177
Stabilizer,S_44,X20 X25,X9 X10 X11 Y12 Z16 Y20
Stabilizer,S_45,X31 X37,X21 X22 X23 X24 X30 Z31
Stabilizer,S_46,X44 X51,X7 X8 X9 Y12 Z16 X30 Z31 Z37 Z44
Stabilizer,S_47,X59 X67,X6 X7 X11 Y12 Z16 X30 Z31 Z37 Z44 Z51 Z59
Stabilizer,S_48,X76 X85,X21 X22 X23 X24 X30 Z31 Z37 Z44 Z51 Z59 Z67 Z76
Stabilizer,S_49,X95 X105,X21 X22 X23 X24 X30 Z31 Z37 Z44 Z51 Z59 Z67 Z76 Z85 Z95
Stabilizer,S_50,X116 X127,X81 X82 X83 X84 X85 Z90 X91 X92 X93 X94 Z95 Z100 Z105 X110 Z116
Stabilizer,S_51,X138 X148,X106 X107 X108 X109 Y116 X117 X118 X119 Z120 Z127 Z131 Z138
Stabilizer,S_52,X158 X167,X107 X108 X109 Z117 X118 X119 Z120 Z128 Z131 Y138 Z148 Z158
