g1_z,IZ,ZI,ZZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.9947777777777778,0.0021376632304564466
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.9947555555555556,0.0018171876998961676
1e-05,1e-05,1e-05,1e-05,1,X8 X11,0.9944000000000001,0.0022800147878797106
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.9948666666666667,0.0019663841605003416
1e-05,1e-05,1e-05,1e-05,1,X7 X10,0.994488888888889,0.002071024943531706
1e-05,1e-05,1e-05,1e-05,1,X13 X15,0.9941555555555557,0.001931257969187561
1e-05,1e-05,1e-05,1e-05,1,X6 X9,0.9945333333333332,0.002103818822961408
1e-05,1e-05,1e-05,1e-05,1,X12 X14,0.9936888888888886,0.0025774342484797376
1e-05,1e-05,1e-05,1e-05,1,X16 X17,0.9945555555555555,0.00196586450294358
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.9835555555555554,0.0030692309785171046
1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X13,0.9836666666666668,0.0031208113691046056
1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X12,0.9839111111111111,0.0022333819403414076
1e-05,1e-05,1e-05,1e-05,1,X10 Z12 Y13 Y14 Z15 X16,0.9840666666666666,0.002708578680310575
1e-05,1e-05,1e-05,1e-05,1,Y0 Z1 X2,0.9895777777777778,0.0029005658495826403
1e-05,1e-05,1e-05,1e-05,1,X9 Y12 Z14,0.9896666666666667,0.0027556976851245397
1e-05,1e-05,1e-05,1e-05,1,Z3 Y5 X8,0.9895999999999999,0.002454802159003186
1e-05,1e-05,1e-05,1e-05,1,X15 Z16 Y17,0.9900000000000001,0.0024882867361351413
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.9944,0.0019066329070236857
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.013688888888888891,0.00981317174612925
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.015444444444444443,0.011871706708759255
1e-05,1e-05,1e-05,1e-05,5,X0 X1,0.9946888888888891,0.0018976358215860504
1e-05,1e-05,1e-05,1e-05,5,X3 X5,0.9944000000000002,0.0020611346055192446
1e-05,1e-05,1e-05,1e-05,5,X8 X11,0.9941777777777777,0.002003317809975497
1e-05,1e-05,1e-05,1e-05,5,X2 X4,0.9946222222222222,0.0014951603492559726
1e-05,1e-05,1e-05,1e-05,5,X7 X10,0.9941333333333334,0.0020670744870144074
1e-05,1e-05,1e-05,1e-05,5,X13 X15,0.993711111111111,0.0021347935615527304
1e-05,1e-05,1e-05,1e-05,5,X6 X9,0.9944666666666666,0.0017781129952156608
1e-05,1e-05,1e-05,1e-05,5,X12 X14,0.9944666666666666,0.0018374561792673997
1e-05,1e-05,1e-05,1e-05,5,X16 X17,0.9943555555555555,0.002098956743841084
1e-05,1e-05,1e-05,1e-05,5,X1 Z2 Y3 Y4 Z5 X7,0.9834222222222221,0.0032222090104102306
1e-05,1e-05,1e-05,1e-05,5,X5 Z7 Y8 Y10 Z11 X13,0.9845777777777778,0.0030158372941738267
1e-05,1e-05,1e-05,1e-05,5,X4 Z6 Y7 Y9 Z10 X12,0.9832222222222223,0.003022689844372807
1e-05,1e-05,1e-05,1e-05,5,X10 Z12 Y13 Y14 Z15 X16,0.9847555555555556,0.0028966003766515477
1e-05,1e-05,1e-05,1e-05,5,Y0 Z1 X2,0.9891777777777779,0.002864411480390186
1e-05,1e-05,1e-05,1e-05,5,X9 Y12 Z14,0.9895555555555557,0.0027589399559822298
1e-05,1e-05,1e-05,1e-05,5,Z3 Y5 X8,0.9890666666666665,0.001938518611241654
1e-05,1e-05,1e-05,1e-05,5,X15 Z16 Y17,0.9897111111111111,0.0027048039189749374
1e-05,1e-05,1e-05,1e-05,5,Logical X,0.9947555555555555,0.001923704387270588
1e-05,1e-05,1e-05,1e-05,5,Logical Y,0.014711111111111114,0.008665664545658338
1e-05,1e-05,1e-05,1e-05,5,Logical Z,0.017422222222222224,0.01439533058961007
1e-05,1e-05,1e-05,1e-05,10,X0 X1,0.9945333333333334,0.002044710960472746
1e-05,1e-05,1e-05,1e-05,10,X3 X5,0.9942222222222222,0.001991039954940926
1e-05,1e-05,1e-05,1e-05,10,X8 X11,0.9948444444444443,0.0016510378329783726
1e-05,1e-05,1e-05,1e-05,10,X2 X4,0.9947333333333331,0.0023899534293864415
1e-05,1e-05,1e-05,1e-05,10,X7 X10,0.9937999999999999,0.002249904212520434
1e-05,1e-05,1e-05,1e-05,10,X13 X15,0.9942222222222222,0.0017004244079950267
