Category,Label,Operator,Toggle
Stabilizer,S_0,X0 X1,Y0
Stabilizer,S_1,X3 X5,X2 Z3
Stabilizer,S_2,X8 X11,X2 X5 Y8
Stabilizer,S_3,X15 X19,X4 X5 Y8 Z11 Z15
Stabilizer,S_4,X24 X29,X4 X5 Y8 Z11 X19 Y24
Stabilizer,S_5,X35 X41,X17 X18 X19 Y21 Y24 Z26 Z29 X30 X31 Z35
Stabilizer,S_6,X48 X55,X30 X31 X32 X33 X34 X41 Y48
Stabilizer,S_7,X63 X71,X2 X5 Y8 Z11 X19 Y24 Z29 X41 Y48 Z55 Z63
Stabilizer,S_8,X80 X89,X37 X38 X39 X40 X41 Y43 Y48 Z50 Z55 X56 X57 X71 Y80
Stabilizer,S_9,X2 X4,X0 Z2
Stabilizer,S_10,X7 X10,X1 Z2 Z4 Z7
Stabilizer,S_11,X14 X18,X4 Y7 X8 Z10 Z14
Stabilizer,S_12,X23 X28,X11 X13 Z14 X16 Z18 Z23
Stabilizer,S_13,X34 X40,X8 X12 X13 Z14 Z18 Z23 Z28 Z34
Stabilizer,S_14,X47 X54,X29 X31 X32 X33 Z34 X36 Z40 Z47
Stabilizer,S_15,X62 X70,X29 X30 X31 X32 X33 Z34 Z40 Z47 Z54 Z62
Stabilizer,S_16,X79 X88,X29 X30 X31 X32 X33 Z34 Z40 Z47 Z54 Z62 Z70 Z79
Stabilizer,S_17,X97 X105,X80 Y97
Stabilizer,S_18,X6 X9,X1 Y2 Z4 Y6
Stabilizer,S_19,X13 X17,X7 X8 X12 Z13
Stabilizer,S_20,X22 X27,X7 X8 X12 Z13 Z17 Z22
Stabilizer,S_21,X33 X39,X7 X11 X12 Z13 Z17 Z22 Z27 Z33
Stabilizer,S_22,X46 X53,X7 X11 X12 Z13 Z17 Z22 Z27 Z33 Z39 Z46
Stabilizer,S_23,X61 X69,X12 X17 Y22 X23 X24 Z27 Z33 Z39 Z46 Z53 Z61
Stabilizer,S_24,X78 X87,X12 X17 Y22 X23 X24 Z27 Z33 Z39 Z46 Z53 Z61 Z69 Z78
Stabilizer,S_25,X96 X104,X70 X71 Y78 X79 Z80 Z87 Z89 Z96
Stabilizer,S_26,X112 X119,X70 X71 Y78 X79 Z80 Z87 Z89 Z96 Z104 Z112
Stabilizer,S_27,X12 X16,X1 Y2 Z4 X6 Z12
Stabilizer,S_28,X21 X26,X9 X10 Z12 Y14 Z16 Z18 Z21 X23 X24
Stabilizer,S_29,X32 X38,X6 X7 X8 Z12 Z16 Z21 Z26 Z32
Stabilizer,S_30,X45 X52,X6 X7 X11 Z12 Z16 Z21 Z26 Z32 Z38 Z45
Stabilizer,S_31,X60 X68,X36 X37 X38 X42 X43 X44 Z45 Z52 Y56 Z60 Z64 X72
Stabilizer,S_32,X77 X86,X50 X51 X52 Z57 X58 X59 Z60 X64 Z65 Z68 X72 X73 Z77
Stabilizer,S_33,X95 X103,X62 X69 X71 Y77 X78 X79 Z80 Z86 Z89 Z95
Stabilizer,S_34,X111 X118,X69 X70 X71 Y77 X78 X79 Z80 Z86 Z89 Z95 Z103 Z111
Stabilizer,S_35,X125 X131,X80 X87 X88 Y95 X96 X97 Z103 Z111 Z118 Z125
Stabilizer,S_36,X20 X25,X6 X7 X11 Y12 Z16 Y20
Stabilizer,S_37,X31 X37,X6 X7 X11 Y12 Z16 X30 Z31
Stabilizer,S_38,X44 X51,X7 X8 X9 Y12 Z16 X30 Z31 Z37 Z44
Stabilizer,S_39,X59 X67,X36 X37 X42 X43 Z44 Z51 Y56 Z59 Z64 X72
Stabilizer,S_40,X76 X85,X49 X50 X51 Z56 X57 X58 Z59 Z64 Z67 X72 Z76
Stabilizer,S_41,X94 X102,X53 X54 Z60 X61 Z62 Z68 Z70 X71 Y76 X79 Z80 Z85 Z89 Z94
Stabilizer,S_42,X110 X117,X54 X55 Z61 X62 X68 Z69 X71 Y76 X77 Y80 Z85 Z89 Z94 Z102 Z110
Stabilizer,S_43,X124 X130,X109 X115 X117 Y121 Y124 X125 Z127 X137
Stabilizer,S_44,X136 X141,X80 X87 X88 Z95 X96 X97 Z103 Y110 Z117 Z124 Z130 Z136
Stabilizer,S_45,X30 X36,Y36 X42 Y56 Z64 X72
Stabilizer,S_46,X43 X50,X30 X42 Z43 Y56 Z64 X72
Stabilizer,S_47,X58 X66,X43 X49 Z56 X57 Z58 Z64 X72
Stabilizer,S_48,X75 X84,X58 X64 X65 X72 X73 X74 Z75
Stabilizer,S_49,X93 X101,X39 X40 Z45 X46 Z47 X51 Z52 Z54 X55 Y58 X59 Z66 X70 Z75 Y79 Z84 Z88 Z93 X97
Stabilizer,S_50,X109 X116,X94 X103 X108 Z109 Y111 Z118 Y121 Z127 X132 Y136 Z141
Stabilizer,S_51,X123 X129,X115 X116 Y121 Y123 X124 Z127 X132 Y136 Z141
Stabilizer,S_52,X135 X140,X124 X133 X134 Z135 Y136 X137 Z141
Stabilizer,S_53,X145 X149,X133 X134 X137 X140 Y145
Stabilizer,S_54,X42 X49,Z42 Y56 Z64 X72
Stabilizer,S_55,X57 X65,X42 Z56 Z57 Z64 X72
Stabilizer,S_56,X74 X83,X57 X64 X72 X73 Z74
Stabilizer,S_57,X92 X100,X66 X67 X68 X69 X70 X71 Y74 X75 X76 X77 X78 X79 Z80 Z83 Z89 Z92
Stabilizer,S_58,X108 X115,X93 X107 Z108 Y109 X113 Z116 X129 Y135 Z140 X145
