g1_z,IZ,ZI,ZZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.9935555555555557,0.0016547466459625796
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.9946666666666667,0.0017419766814227799
1e-05,1e-05,1e-05,1e-05,1,X8 X11,0.993577777777778,0.00203029419254979
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.9943333333333335,0.001825741858350557
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.9940444444444446,0.002282254268615921
1e-05,1e-05,1e-05,1e-05,1,X35 X41,0.9941999999999999,0.0018705214713316308
1e-05,1e-05,1e-05,1e-05,1,X48 X55,0.9945999999999999,0.0018474379069195735
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.9945111111111111,0.002054307377071202
1e-05,1e-05,1e-05,1e-05,1,X7 X10,0.9940666666666668,0.0023315263939467858
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.9946666666666667,0.0015161960871578183
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.9940222222222224,0.0021900739736860674
1e-05,1e-05,1e-05,1e-05,1,X34 X40,0.9944222222222223,0.002197060616190019
1e-05,1e-05,1e-05,1e-05,1,X47 X54,0.994311111111111,0.0019709253196357065
1e-05,1e-05,1e-05,1e-05,1,X61 X67,0.9944888888888889,0.0018850761610137844
1e-05,1e-05,1e-05,1e-05,1,X6 X9,0.9946222222222222,0.0020261382654580906
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.9939777777777777,0.0017636893874568222
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.994711111111111,0.0017413900585129215
1e-05,1e-05,1e-05,1e-05,1,X33 X39,0.995,0.00202475106080663
1e-05,1e-05,1e-05,1e-05,1,X46 X53,0.9945333333333334,0.0017974012743391951
1e-05,1e-05,1e-05,1e-05,1,X60 X66,0.9946444444444444,0.0015007873625317858
1e-05,1e-05,1e-05,1e-05,1,X72 X77,0.9940888888888889,0.0019864161944500545
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.9941777777777777,0.0017413900585129133
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.9947777777777778,0.0019580530899180005
1e-05,1e-05,1e-05,1e-05,1,X32 X38,0.9944444444444442,0.0017004244079950345
1e-05,1e-05,1e-05,1e-05,1,X45 X52,0.9942888888888888,0.0020242463870548187
1e-05,1e-05,1e-05,1e-05,1,X59 X65,0.9942000000000001,0.0019428619723691643
1e-05,1e-05,1e-05,1e-05,1,X71 X76,0.994288888888889,0.00181676596445555
1e-05,1e-05,1e-05,1e-05,1,X81 X85,0.9943777777777778,0.0020617541416195423
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.9943555555555557,0.0020397079900188277
1e-05,1e-05,1e-05,1e-05,1,X31 X37,0.9944222222222222,0.002460310750913391
1e-05,1e-05,1e-05,1e-05,1,X44 X51,0.9942444444444444,0.0019375960405480233
1e-05,1e-05,1e-05,1e-05,1,X58 X64,0.9941777777777776,0.002107700410805901
1e-05,1e-05,1e-05,1e-05,1,X70 X75,0.9941333333333333,0.0019761024373528458
1e-05,1e-05,1e-05,1e-05,1,X80 X84,0.9942444444444445,0.002210967668964346
1e-05,1e-05,1e-05,1e-05,1,X88 X91,0.9950222222222223,0.0015827938181435727
1e-05,1e-05,1e-05,1e-05,1,X30 X36,0.994688888888889,0.0019217116678511008
1e-05,1e-05,1e-05,1e-05,1,X43 X50,0.9946222222222222,0.002107700410805907
1e-05,1e-05,1e-05,1e-05,1,X57 X63,0.9944888888888888,0.0013778024963794172
1e-05,1e-05,1e-05,1e-05,1,X69 X74,0.9938666666666668,0.0019448330208342286
1e-05,1e-05,1e-05,1e-05,1,X79 X83,0.993688888888889,0.002047207860854089
1e-05,1e-05,1e-05,1e-05,1,X87 X90,0.994711111111111,0.001632367374071657
1e-05,1e-05,1e-05,1e-05,1,X93 X95,0.9940222222222223,0.0020075209800430294
1e-05,1e-05,1e-05,1e-05,1,X42 X49,0.9943777777777779,0.001986030395166097
1e-05,1e-05,1e-05,1e-05,1,X56 X62,0.9940888888888889,0.001800241221242754
1e-05,1e-05,1e-05,1e-05,1,X68 X73,0.9946,0.001426084315563344
1e-05,1e-05,1e-05,1e-05,1,X78 X82,0.9946222222222223,0.0019490312621381562
1e-05,1e-05,1e-05,1e-05,1,X86 X89,0.9938222222222224,0.0020784118113902944
1e-05,1e-05,1e-05,1e-05,1,X92 X94,0.9937777777777778,0.0023769862971755617
1e-05,1e-05,1e-05,1e-05,1,X96 X97,0.9942,0.0021452969143162318
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.9837555555555556,0.0034105238677309743
1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X14,0.9838444444444446,0.0034649126125367033
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.9823777777777776,0.002901622393759086
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X34,0.982688888888889,0.0034373799758449356
1e-05,1e-05,1e-05,1e-05,1,X29 Z34 Y35 Y40 Z41 X47,0.983111111111111,0.003089139712520911
1e-05,1e-05,1e-05,1e-05,1,X41 Z47 Y48 Y54 Z55 X61,0.9831999999999999,0.00352940575463391
1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X13,0.9843999999999998,0.00373694406672812
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.9827999999999999,0.0034592316379369824
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X33,0.9824,0.0030505322693649166
1e-05,1e-05,1e-05,1e-05,1,X28 Z33 Y34 Y39 Z40 X46,0.9840444444444444,0.00298621780973056
1e-05,1e-05,1e-05,1e-05,1,X40 Z46 Y47 Y53 Z54 X60,0.9833333333333335,0.0028607530557489542
1e-05,1e-05,1e-05,1e-05,1,X54 Z60 Y61 Y66 Z67 X72,0.9829777777777777,0.0035825602837164174
1e-05,1e-05,1e-05,1e-05,1,X9 Z12 Y13 Y16 Z17 X21,0.9830000000000001,0.0033573844956068114
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X32,0.9841333333333332,0.0032301263868610153
1e-05,1e-05,1e-05,1e-05,1,X27 Z32 Y33 Y38 Z39 X45,0.9841555555555555,0.002974648095138421
1e-05,1e-05,1e-05,1e-05,1,X39 Z45 Y46 Y52 Z53 X59,0.9829333333333333,0.0032072714319673844
1e-05,1e-05,1e-05,1e-05,1,X53 Z59 Y60 Y65 Z66 X71,0.9835333333333334,0.0034358934769102355
1e-05,1e-05,1e-05,1e-05,1,X66 Z71 Y72 Y76 Z77 X81,0.9829333333333333,0.004167379249411925
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X31,0.9830444444444445,0.0028857336143476137
1e-05,1e-05,1e-05,1e-05,1,X26 Z31 Y32 Y37 Z38 X44,0.9832222222222222,0.003751202446637305
1e-05,1e-05,1e-05,1e-05,1,X38 Z44 Y45 Y51 Z52 X58,0.9833999999999998,0.0037112235282489104
1e-05,1e-05,1e-05,1e-05,1,X52 Z58 Y59 Y64 Z65 X70,0.9830666666666665,0.004059330107239379
1e-05,1e-05,1e-05,1e-05,1,X65 Z70 Y71 Y75 Z76 X80,0.9847555555555556,0.002716394575378238
1e-05,1e-05,1e-05,1e-05,1,X76 Z80 Y81 Y84 Z85 X88,0.9837333333333333,0.004247514486184223
1e-05,1e-05,1e-05,1e-05,1,X25 Z30 Y31 Y36 Z37 X43,0.9833333333333333,0.0037712361663282557
1e-05,1e-05,1e-05,1e-05,1,X37 Z43 Y44 Y50 Z51 X57,0.9834222222222221,0.00321268240334717
1e-05,1e-05,1e-05,1e-05,1,X51 Z57 Y58 Y63 Z64 X69,0.983511111111111,0.0029862178097305714
1e-05,1e-05,1e-05,1e-05,1,X64 Z69 Y70 Y74 Z75 X79,0.9840888888888889,0.0027444591806265062
1e-05,1e-05,1e-05,1e-05,1,X75 Z79 Y80 Y83 Z84 X87,0.9844888888888887,0.0034125454071427404
1e-05,1e-05,1e-05,1e-05,1,X84 Z87 Y88 Y90 Z91 X93,0.9848222222222223,0.002738589470161456
1e-05,1e-05,1e-05,1e-05,1,X36 Z42 Y43 Y49 Z50 X56,0.9824666666666667,0.0025976706335304476
1e-05,1e-05,1e-05,1e-05,1,X50 Z56 Y57 Y62 Z63 X68,0.9841777777777777,0.0036470040539604656
1e-05,1e-05,1e-05,1e-05,1,X63 Z68 Y69 Y73 Z74 X78,0.9828888888888889,0.003003616381387436
1e-05,1e-05,1e-05,1e-05,1,X74 Z78 Y79 Y82 Z83 X86,0.9832666666666666,0.0039395820226782825
